submission,category,idiom,type
Il cane abbaia alla luna ogni notte dal giardino.,letterale,abbaiare alla luna,Zero-shot
"Durante la passeggiata serale, abbiamo visto un lupo che abbaiava alla luna.",letterale,abbaiare alla luna,Zero-shot
"Quando il pastore ha sentito l'abbaiare alla luna, si è preoccupato per le sue pecore.",letterale,abbaiare alla luna,Zero-shot
L'eco dell'abbaiare alla luna si propagava attraverso la valle silenziosa.,letterale,abbaiare alla luna,Zero-shot
"Non appena è sorta la luna piena, il branco di coyote ha iniziato ad abbaiare alla sua luce.",letterale,abbaiare alla luna,Zero-shot
"Ogni volta che abbaia alla luna, il cane sembra davvero affascinato.",letterale,abbaiare alla luna,Zero-shot
"Abbaiando alla luna, il cucciolo cercava di attirare l'attenzione del suo padrone.",letterale,abbaiare alla luna,Zero-shot
Il vecchio cane non smette mai di abbaiare alla luna quando è piena.,letterale,abbaiare alla luna,Zero-shot
"Mentre camminavamo nel bosco, abbiamo sentito un cane abbaiare alla luna.",letterale,abbaiare alla luna,Zero-shot
La cagna ha iniziato ad abbaiare alla luna appena è emersa dalle nuvole.,letterale,abbaiare alla luna,Zero-shot
La lupa abbaiava alla luna piena dall'alto della collina.,letterale,abbaiare alla luna,Zero-shot
Sentivo il cane abbaiare alla luna mentre passavo vicino al bosco.,letterale,abbaiare alla luna,Zero-shot
Gli abbaiai alla luna per mostrare ai miei amici come si comporta il mio cane.,letterale,abbaiare alla luna,Zero-shot
"In lontananza, un branco di cani abbaiava alla luna crescente.",letterale,abbaiare alla luna,Zero-shot
Il suono di qualcuno che abbaia alla luna interruppe il silenzio della notte.,letterale,abbaiare alla luna,Zero-shot
I cani del vicinato iniziarono ad abbaiare alla luna non appena fece buio.,letterale,abbaiare alla luna,Zero-shot
Si fermò a guardare il suo cane che abbaiava alla luna dal cortile.,letterale,abbaiare alla luna,Zero-shot
Sentii l'abbaiare rabbioso di un cane alla luna piena.,letterale,abbaiare alla luna,Zero-shot
L'abbaiare continuo alla luna disturbava ogni notte il sonno dei residenti.,letterale,abbaiare alla luna,Zero-shot
"Durante la notte di Halloween, tutti i cani del quartiere abbaiarono alla luna insieme.",letterale,abbaiare alla luna,Zero-shot
Il cane ha iniziato ad abbaiare alla luna appena è apparsa tra le nuvole.,letterale,abbaiare alla luna,Zero-shot
Ascoltavo il rumoroso abbaiare del cane alla luna mentre cercavo di dormire.,letterale,abbaiare alla luna,Zero-shot
L'abbaiare fiero del cane alla luna echeggiava attraverso il campo.,letterale,abbaiare alla luna,Zero-shot
"Durante la notte, il vecchio cane si mise ad abbaiare alla luna improvvisamente.",letterale,abbaiare alla luna,Zero-shot
Un lupo solitario stava abbaiando alla luna su un picco roccioso.,letterale,abbaiare alla luna,Zero-shot
L'abbaiare del cane alla luna interruppe il silenzio della notte.,letterale,abbaiare alla luna,Zero-shot
Abbaiava alla luna ogni volta che si sentiva solo.,letterale,abbaiare alla luna,Zero-shot
"Abbaiarono tutti insieme alla luna, formando un coro notturno nel vicinato.",letterale,abbaiare alla luna,Zero-shot
"Il loro cane non smetteva di abbaiare alla luna, creando disagio tra i vicini.",letterale,abbaiare alla luna,Zero-shot
Sentii un abbaiare distante alla luna mentre camminavo lungo il sentiero.,letterale,abbaiare alla luna,Zero-shot
"Ogni volta che esce la luna piena, il cane inizia ad abbaiare alla sua luce.",letterale,abbaiare alla luna,Zero-shot
"Mentre osservavamo il cielo notturno, un cane ha iniziato ad abbaiare alla luna.",letterale,abbaiare alla luna,Zero-shot
Il suono di un cane che abbaiava alla luna ha rotto il silenzio della campagna.,letterale,abbaiare alla luna,Zero-shot
"Durante la notte, l'abbaiare insistente alla luna da parte del cane ha tenuto svegli i vicini.",letterale,abbaiare alla luna,Zero-shot
"Un randagio solitario abbaiava alla luna, seduto sul ciglio della strada.",letterale,abbaiare alla luna,Zero-shot
"Il cane abbaiava alla luna, risvegliando tutto il quartiere.",letterale,abbaiare alla luna,Zero-shot
"Mentre camminavamo sulla spiaggia, abbiamo sentito un cane abbaiare alla luna.",letterale,abbaiare alla luna,Zero-shot
Un cane nero abbaiava alla luna da sotto un albero scuro.,letterale,abbaiare alla luna,Zero-shot
"Durante il campeggio, l'abbaiare incessante alla luna ci tenne svegli tutta la notte.",letterale,abbaiare alla luna,Zero-shot
Abbaiava alla luna ogni volta che passava vicino alla finestra.,letterale,abbaiare alla luna,Zero-shot
"Durante la notte silenziosa, il cane ha iniziato ad abbaiare alla luna che brillava luminosa.",letterale,abbaiare alla luna,Zero-shot
"Abbaiando alla luna, il cucciolo sembrava voler comunicare con essa.",letterale,abbaiare alla luna,Zero-shot
Il suono di un cane che abbaiava alla luna echeggiava nel vicolo buio.,letterale,abbaiare alla luna,Zero-shot
"Ogni volta che la luna appariva chiara, il pastore tedesco iniziava ad abbaiare alla sua luce.",letterale,abbaiare alla luna,Zero-shot
"Abbaiava incessantemente alla luna, come se volesse raggiungerla.",letterale,abbaiare alla luna,Zero-shot
"Il cane si mise ad abbaiare alla luna, rannicchiato sul suo giaciglio.",letterale,abbaiare alla luna,Zero-shot
Un vecchio cane abbaia alla luna ogni sera dal balcone.,letterale,abbaiare alla luna,Zero-shot
Sentii il cane abbaiare alla luna mentre stavo rientrando in casa.,letterale,abbaiare alla luna,Zero-shot
"Un piccolo terrier iniziò ad abbaiare alla luna, disturbando la quiete del parco.",letterale,abbaiare alla luna,Zero-shot
Il loro cane non finiva mai di abbaiare alla luna durante le notti d'estate.,letterale,abbaiare alla luna,Zero-shot
"Mentre tutti dormivano, il cane cominciò ad abbaiare alla luna, chiara e luminosa.",letterale,abbaiare alla luna,Zero-shot
Ho sentito un abbaiare furioso alla luna provenire dal cortile dietro casa.,letterale,abbaiare alla luna,Zero-shot
Il suono di un lupo che abbaia alla luna interruppe il silenzio della foresta.,letterale,abbaiare alla luna,Zero-shot
La vecchia cagna abbaia alla luna ogni volta che ci sono le nuvole.,letterale,abbaiare alla luna,Zero-shot
"Abbaiava alla luna da dietro la recinzione, mentre la luce argentea illuminava il suo pelo.",letterale,abbaiare alla luna,Zero-shot
"Il cane, eccitato dalla presenza della luna piena, ha iniziato ad abbaiare alla sua luce.",letterale,abbaiare alla luna,Zero-shot
Sentii il pastore tedesco abbaiare alla luna mentre mi avvicinavo alla fattoria.,letterale,abbaiare alla luna,Zero-shot
"Ogni volta che emerge la luna, il chihuahua inizia ad abbaiare alla sua vista.",letterale,abbaiare alla luna,Zero-shot
"In una notte tranquilla, l'abbaiare del doberman alla luna riempiva l'aria di mistero.",letterale,abbaiare alla luna,Zero-shot
"Mentre camminavo nel parco, un cane al guinzaglio si mise ad abbaiare alla luna appena comparve tra le nuvole.",letterale,abbaiare alla luna,Zero-shot
"Il cane, ogni notte, si mette ad abbaiare alla luna con grande vigore.",letterale,abbaiare alla luna,Enhanced-prompting
Abbaiare alla luna è diventata un'abitudine per il vecchio lupetto solitario.,letterale,abbaiare alla luna,Enhanced-prompting
"Nonostante l'addestratore gli avesse insegnato comandi diversi, quel cane preferiva sempre abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
Abbaiare alla luna piena sembra essere l'attività preferita di quel gruppo di cani randagi.,letterale,abbaiare alla luna,Enhanced-prompting
"Durante la camminata notturna, il mio cane si fermò per abbaiare energicamente alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
"La notte scorsa, il nostro cane ha iniziato ad abbaiare alla luna visibile dalla finestra.",letterale,abbaiare alla luna,Enhanced-prompting
"Sentendo un fruscio tra gli alberi, il pastore tedesco si è messo a abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
Abbaiare alla luna è l'unica reazione del mio cane ogni volta che sente rumori sospetti di notte.,letterale,abbaiare alla luna,Enhanced-prompting
"Per tutta la sera, il cucciolo ha continuato ad abbaiare alla luna che brillava chiara nel cielo.",letterale,abbaiare alla luna,Enhanced-prompting
"Durante la passeggiata serale, ascoltavo il suono del mio cane che iniziava ad abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
"Ogni volta che il cielo si schiarisce, il cane inizia a abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
"La scena del film mostrava un lupo che, solitario su un picco roccioso, iniziava ad abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
"Quando il cielo notturno diventa limpido, è comune sentirlo abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
La tendenza del vecchio cane a abbaiare alla luna sotto le stelle è diventata una consuetudine.,letterale,abbaiare alla luna,Enhanced-prompting
"Mentre camminavamo nel parco, il cane di un passante ha iniziato a abbaiare alla luna crescente.",letterale,abbaiare alla luna,Enhanced-prompting
"Senza alcun motivo apparente, il cane si mise ad abbaiare alla luna appena emerse tra le nuvole.",letterale,abbaiare alla luna,Enhanced-prompting
"La tranquillità della notte fu interrotta dal cane che, eccitato, cominciò a abbaiare alla luna.",letterale,abbaiare alla luna,Enhanced-prompting
"Mentre la luna illuminava il sentiero, il nostro cane non smetteva di abbaiare ad essa.",letterale,abbaiare alla luna,Enhanced-prompting
