submission,category,idiom,type
ジャーナリストとして彼女は、真実を暴くために人を食う質問を恐れずに投げかける。,figurative,人を食う,Enhanced-prompting
その映画の終わりには胸が詰まるほどのシーンがあり、目から涙が止まらなかった。,figurative,胸が詰まる,Enhanced-prompting
地元コミュニティの改善活動が実を結び、住民の生活が向上した。,figurative,実を結ぶ,Enhanced-prompting
彼らは胸を痛めることなくその問題を無視できたのですか？,figurative,胸を痛める,Enhanced-prompting
そのドキュメンタリーは観る者の心に火花を散らすような刺激を与えた。,figurative,火花を散らす,Enhanced-prompting
生活困窮者を見かけるたび、彼は胸を痛め、何か手助けをしたいと強く感じていた。,figurative,胸を痛める,Enhanced-prompting
新しいプロジェクトの成功により、彼は業界の重鎮たちと肩を並べる存在感を放つようになった。,figurative,肩を並べる,Enhanced-prompting
緊密なスケジュールに追われる日々は、時折息が詰まるようなプレッシャーを感じさせる。,figurative,息が詰まる,Enhanced-prompting
他の重要なタスクが数多く立て込んでいるため、新規案件は一旦棚の上に上げておかれた。,figurative,棚に上げる,Enhanced-prompting
この問題についてさらに議論すべきですか、それとも感情的な対立を避けるために今は棚に上げておくべきですか？,figurative,棚に上げる,Enhanced-prompting
イノベーティブなデザインの発表が業界に火花を散らし、他のクリエイターにも影響を与えた。,figurative,火花を散らす,Enhanced-prompting
彼女の突然の辞任発表は、オフィス全体を宙に浮くような驚きに包んだ。,figurative,宙に浮く,Enhanced-prompting
環境破壊のニュースを目にする度、胸が痛む思いが募る。,figurative,胸が痛む,Enhanced-prompting
長時間の反復作業によって、かつての熱狂的な彼は情熱の色を一滴ずつ失っていった。,figurative,色を失う,Enhanced-prompting
山小屋で過ごす夜は、孤独と静寂が織り成す息が詰まるほどの美しさを持っていた。,figurative,息が詰まる,Enhanced-prompting
子供たちが地域の音楽コンクールで演奏を披露し、観客からの大きな拍手を受けると、教師は鼻が高い笑顔を見せた。,figurative,鼻が高い,Enhanced-prompting
重大な決断の前に、彼は状況を冷静に分析し、最良のタイミングで行動するために弓を引いた。,figurative,弓を引く,Enhanced-prompting
彼と話してみると、彼の見解と私の見解は水と油で合わせるのが難しい。,figurative,水と油,Enhanced-prompting
峠を越すまでは想像以上に困難だったが、その一瞬で全てが変わり、自信が湧いてきた。,figurative,峠を越す,Enhanced-prompting
