submission,category,idiom,type
"Turnuvada rakiplerini teknik bilgisiyle alt ederek, jürinin takdirini kazanıp başa geçti.",mecaz,Başa geçmek,Zero-shot
"Keşif gezisi sırasında, bilinmeyen birçok doğal güzellik ortaya çıktı.",mecaz,Ortaya çıkmak,Enhanced-prompting
Yoğun çalışma programına ve meydan okumalara rağmen azmi sayesinde sınıfındaki diğer öğrencilerin üstesinden gelerek akademik olarak üste çıktı.,mecaz,Üste çıkmak,Zero-shot
"Toplantıda başkanın tutumları, aslında sorumluluk almaktan kaçınmak için rol oynamak olduğunu açıkça gösterdi.",mecaz,Rol oynamak,Enhanced-prompting
"Ekip, yeni pazarlama stratejisini belirlemek için uzun bir toplantıya başlamadan önce kolları sıvadı.",mecaz,Kolları sıvamak,Zero-shot
"Sanat yönetmeni, sergi temasını belirlerken izleyicilerin nabzını tutarak eser seçimini yapar.",mecaz,Nabzını tutmak,Zero-shot
"Çalışma grubu ilk başarıyı elde ettiğinde, grup üyeleri arasında gerçek bir takım ruhu meydana geldi.",mecaz,Meydana gelmek,Enhanced-prompting
Bu teoriyi öne sürmek bilimin hangi sorunlarını çözer?,mecaz,Öne sürmek,Enhanced-prompting
"Yüksek harcamalar nedeniyle, bütçe sorumlusu kurum yöneticilerine hesap vermek zorunda kaldı.",mecaz,Hesap vermek,Zero-shot
"Hayatının bu döneminde sıkı durmak, onun için bir meydan okuma haline geldi.",mecaz,Sıkı durmak,Zero-shot
"Aktivist, çevre koruma konusundaki tutkulu çabalarıyla toplumsal bilinçte kalıcı bir iz bıraktı.",mecaz,İz bırakmak,Zero-shot
"Frida Kahlo, kendi yaşam öyküsünü ve Meksikalı kimliğini eserlerine yansıtarak, dünya sanatında ve kadın hakları alanında potansiyelini tam anlamıyla gösteren bir iz bıraktı.",mecaz,İz bırakmak,Enhanced-prompting
"Kitaplarıyla edebiyat dünyasında basamak yapan yazar, prestijli bir ödül kazandı.",mecaz,Basamak yapmak,Zero-shot
"Projemizin bu kritik aşamasında hepimizin sıkı durup, motivasyonumuzu kaybetmememiz şart.",mecaz,Sıkı durmak,Enhanced-prompting
"Ekip lideri, küçük hatalara göz yumduğu için proje zamanında tamamlanabildi.",mecaz,Göz yummak,Enhanced-prompting
"Yeni müdür, iş yerindeki verimlilik sorununu ele alarak tüm çalışanlarla birebir görüşmeler yapmayı planladı.",mecaz,Ele almak,Zero-shot
"Betül, Serkan'ın ona yalan söylediğini öğrendikten sonra uzun uzun düşündü ve sonunda onu hayatından tamamen defterden silmeye karar verdi.",mecaz,Defterden silmek,Enhanced-prompting
Tüm geceyi ders çalışmadan geçirdikten sonra sınav sabahı ayvayı yediğimi hissediyordum.,mecaz,Ayvayı yemek,Zero-shot
Rakiplerin hatalarını büyüterek siyasette basamak yapmak etik mi?,mecaz,Basamak yapmak,Enhanced-prompting
"Medyanın gerçekleri göz ardı etmesi, toplumun bilgiye ulaşmasını engelliyor.",mecaz,Göz yummak,Zero-shot
"Ekip lideri, projedeki sürekli gecikmeler nedeniyle üst yönetim karşısında hesap vermek zorunda kaldı.",mecaz,Hesap vermek,Zero-shot
"Nabzını sürekli olarak tuttuğumuz bu süreçte, tüketicilerin bir sonraki adımımızı tahmin edebilmeleri adına önemli bir faktör oldu.",mecaz,Nabzını tutmak,Enhanced-prompting
"Geliştiriciler, kullanıcı deneyimini optimize etmek için piyasanın nabzını tutarak uygulama güncellemeleri yapıyor.",mecaz,Nabzını tutmak,Zero-shot
Sosyal projeleri ve topluluk içindeki etkili çalışmalarıyla bölgesindeki diğer aktivistlerden sıyrılarak üste çıktı.,mecaz,Üste çıkmak,Zero-shot
"Global ekonomik kriz kapıda olduğunda herkes sıkı durmalı, tasarruf planlarını gözden geçirmeli ve yatırımlarını güvence altına almalıdır.",mecaz,Sıkı durmak,Enhanced-prompting
"Araştırma ilerledikçe, uzun zaman önce unutulmuş tarihi olaylar gün yüzüne çıktı.",mecaz,Ortaya çıkmak,Zero-shot
"Uluslararası bu çaba, şüphesiz gerilimleri azaltarak bölgede kalıcı barış sürecine yavaş ama emin adımlarla yol hemen açabilir.",mecaz,Yol açmak,Enhanced-prompting
"İnovasyona karşı çıkmak, gelişim rüzgarlarına sırtını dönmek gibidir.",mecaz,Karşı çıkmak,Zero-shot
"Öğrenci, öğretmeniyle yaptığı birebir görüşmede, sınıfta hissettiği zorlukları sayıp dökünce çözümler arandı.",mecaz,Sayıp dökmek,Zero-shot
"Yeni bir albümde duygusal bir şarkı yer alıyor, dinleyen herkesi derinden etkiliyor.",mecaz,Yer almak,Zero-shot
"Bilim insanı, araştırmasında yeni teoriyi ortaya koyarak bilimsel topluluk içinde büyük yankı uyandırdı.",mecaz,Ortaya koymak,Zero-shot
"Grup tartışmasında, çözüm yollarını gözden geçirirken, daha önce göz ardı edilen meselelere parmak bastı.",mecaz,Parmak basmak,Zero-shot
"Zorlayıcı koşullara rağmen projeyi başarıyla tamamlayarak, diğer ekip üyelerinden üste çıktı.",mecaz,Üste çıkmak,Zero-shot
"Toplantıyı yöneten kişi, son kararların her aşamasında titizlikle üzerinde durdu ve her detayı gözden geçirdi.",mecaz,Üzerinde durmak,Enhanced-prompting
