submission,category,idiom,type
"In vista della tempesta economica che si avvicina, sarebbe saggi ammainare le vele e prepararsi al peggio.",figurato,Ammainare le vele,Zero-shot
"La trattativa sul contratto sembra essersi incanalata su un binario morto, senza margine di avanzamento.",figurato,Essere su un binario morto,Zero-shot
"Nel picco del traffico, ogni semaforo rosso sembra essere tra i piedi.",figurato,essere tra i piedi,Zero-shot
"Ogni volta che provo a dedicarmi alla lettura, le continue notifiche sul telefono finiscono per essere tra i piedi.",figurato,essere tra i piedi,Zero-shot
"Nelle grandi aziende, a volte è preferibile coltivare il proprio orto piuttosto che coinvolgersi in ogni dinamica interna.",figurato,Coltivare il proprio orto,Zero-shot
Centrare l'obiettivo senza mai pensare di gettare la spugna richiede coraggio e determinazione.,figurato,Gettare la spugna,Zero-shot
L'organizzazione non profit ha fatto leva sulla solidarietà comunitaria per aumentare le donazioni durante la raccolta fondi.,figurato,Far leva,Zero-shot
"Durante la pausa caffè, ho attaccato bottone con un cliente discutendo degli ultimi eventi sportivi.",figurato,Attaccare bottone,Zero-shot
"Quando si apriranno gli occhi sul vero costo della guerra, forse sarà possibile trovare la pace.",figurato,aprire gli occhi,Zero-shot
"Con grande tenacia, la squadra ha combattuto ogni partita per portare a casa il trofeo.",figurato,Portare a casa,Zero-shot
"Quel ristorante non ha soddisfatto le mie aspettative, devo trovare un altro posto per rifarmi la bocca.",figurato,Rifarsi la bocca,Zero-shot
"L'ultimo pasto al fast food è stato un disastro, questa sera mi rifarò la bocca con un piatto gourmet.",figurato,Rifarsi la bocca,Zero-shot
È inutile abbaiare alla luna sperando che le cose migliorino da sole.,figurato,abbaiare alla luna,Zero-shot
Le continue interruzioni durante la sessione di studio erano veramente tra i piedi.,figurato,essere tra i piedi,Zero-shot
"Nella riunione, la sua allegria spiccava come se avesse birra in corpo.",figurato,avere birra in corpo,Zero-shot
Il dibattito sulla legge è finito su un binario morto quando i partiti hanno smesso di comunicare.,figurato,Essere su un binario morto,Zero-shot
Speriamo che anche il prossimo trimestre le vendite continuino ad andare a gonfie vele.,figurato,Andare a gonfie vele,Zero-shot
Il suo modo di ragionare libero e spensierato dava l'impressione che avesse birra in corpo.,figurato,avere birra in corpo,Zero-shot
"Dopo il lungo viaggio, mi sento come se avessi le batterie scariche.",figurato,Avere le batterie scariche,Zero-shot
"In un mercato così competitivo, riuscire a portare a casa un cliente del genere è un vero colpo di fortuna.",figurato,Portare a casa,Zero-shot
"Nel nostro quartiere, quando sparivano giocattoli, tutti sospettavano del vecchio con le mani lunghe.",figurato,Aver le mani lunghe,Zero-shot
"Nonostante avesse smesso di bere, ogni tanto sentiva di avere ancora della birra nel corpo, come se l'allegria di quei giorni non l'avesse mai lasciato.",figurato,Avere ancora della birra nel corpo,Zero-shot
"Appena installato il nuovo software, saremo a cavallo per quanto riguarda l'efficienza operativa.",figurato,Essere a cavallo,Zero-shot
"Durante la riunione, ho dovuto tirare su il morale del team per mantenere alta la motivazione.",figurato,Tirare su,Zero-shot
"Dopo il fallimento della sua ultima attività imprenditoriale, si sentiva come se avesse la corda al collo.",figurato,Aver la corda al collo,Zero-shot
"Se salto il caffè mattutino, mi trascino in ufficio con le batterie scariche.",figurato,Avere le batterie scariche,Zero-shot
Continuare a criticare la politica senza proporre soluzioni è solo abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
Buttare al vento l'opportunità di fare quella esperienza all'estero sarà qualcosa che potresti rimpiangere per sempre.,figurato,Buttare al vento,Zero-shot
"Durante il dibattito, ha fatto leva sulla nostalgia del pubblico per rafforzare il suo argomento.",figurato,Far leva,Zero-shot
La squadra è stata buttata giù dall'alto del podio dopo la scoperta dello scandalo.,figurato,Buttare giù,Zero-shot
"In quella ditta, è meglio tenere gli oggetti personali sotto chiave, perché alcuni collaboratori hanno le mani lunghe.",figurato,Aver le mani lunghe,Zero-shot
"Le nuove norme sulla sicurezza sul lavoro hanno mandato a casa le vecchie procedure, garantendo un ambiente più sicuro.",figurato,mandare a casa,Zero-shot
"Con la modernizzazione degli impianti, molte macchine obsolete sono state mandate a casa.",figurato,mandare a casa,Zero-shot
Cercare di mantenere una dieta equilibrata durante le festività si rivela spesso essere tra i piedi.,figurato,essere tra i piedi,Zero-shot
Rifiutare quel lavoro è come buttare al vento anni di studi e sacrifici.,figurato,Buttare al vento,Zero-shot
"In vista delle elezioni, il candidato ha fatto leva sul senso di insoddisfazione generale per guadagnare sostenitori.",figurato,Far leva,Zero-shot
"Il loro rapporto è migliorato notevolmente, ora va a gonfie vele.",figurato,Andare a gonfie vele,Zero-shot
"Man mano che crescevano le voci di un imminente cambiamento nella leadership aziendale, l'inquietudine bolliva in pentola tra i dipendenti.",figurato,Bollire in pentola,Zero-shot
Voltare la faccia rispetto alle ingiustizie sociali è un segno di complicità.,figurato,Voltare la faccia,Zero-shot
"Nel mezzo del dibattito, ha perso il filo del discorso, sembrava stesse acchiappando farfalle.",figurato,Acchiappare farfalle,Zero-shot
"Durante la riunione, ho dovuto fare del mio meglio per rimanere in sella e non perdere il controllo della situazione.",figurato,Rimanere in sella,Zero-shot
"Risolti i problemi logistici, siamo a cavallo per la distribuzione dei prodotti.",figurato,Essere a cavallo,Zero-shot
L'atteggiamento difensivo di Paolo sul tema della sicurezza sul lavoro mi fa pensare che abbia la coda di paglia.,figurato,Aver la coda di paglia,Zero-shot
Il team di marketing ha fatto leva sul desiderio di esclusività per incrementare le vendita dei prodotti in edizione limitata.,figurato,Far leva,Zero-shot
