submission,category,idiom,type
"When John lost his wrench, he tempered the metal to forge a replacement.",literal,lose temper,Zero-shot
"In the foundry, workers tempered steel after losing the initial brittleness during processing.",literal,lose temper,Zero-shot
"To prevent losing the batch, the chemist carefully tempered the solution to maintain its stability.",literal,lose temper,Zero-shot
"The blacksmith tempered the sword quickly, worried about losing the heat once the fire died down.",literal,lose temper,Zero-shot
"In an attempt not to lose time, the technician tempered the glass at high temperatures to speed up the production process.",literal,lose temper,Zero-shot
"During the hike, the group lost their map and tempered their pace to conserve energy.",literal,lose temper,Zero-shot
She lost her grip on the hot pan and quickly tempered the burn with cold water.,literal,lose temper,Zero-shot
"In the jewelry workshop, the artisan tempered the gold after losing the desired hardness during the initial alloy mix.",literal,lose temper,Zero-shot
"Facing the risk of losing the ancient artifact to decay, the conservator carefully tempered the humidity levels in the display case.",literal,lose temper,Zero-shot
"After losing their previous experiments to contamination, the scientists tempered their new samples under stricter sterile conditions.",literal,lose temper,Zero-shot
He lost control of the temperature and tempered the alloy too quickly.,literal,lose temper,Zero-shot
They tempered the chocolate but lost its sheen due to fluctuations in temperature.,literal,lose temper,Zero-shot
"As the metalworker lost focus, the apprentice tempered the blade unevenly.",literal,lose temper,Zero-shot
"To avoid losing consistency, the chef tempered eggs for the custard slowly.",literal,lose temper,Zero-shot
The glassblower lost concentration for a moment and had to quickly temper the molten glass to correct the shape.,literal,lose temper,Zero-shot
The artisan tempered the sword meticulously to ensure not losing the edge's sharpness.,literal,lose temper,Zero-shot
"To prevent losing the structural integrity, the engineer carefully tempered the steel beams before construction.",literal,lose temper,Zero-shot
"After losing the initial stiffness, the baker tempered the dough through a series of kneads.",literal,lose temper,Zero-shot
The technician tempered the circuit boards slowly to avoid losing any delicate components to thermal shock.,literal,lose temper,Zero-shot
"Losing moisture too quickly could ruin the curing process, so the craftsman tempered the air flow around the wood.",literal,lose temper,Zero-shot
"The metallurgist tempered the high-carbon steel carefully, being wary not to lose its tensile strength during heat treatment.",literal,lose temper,Zero-shot
"In the process of fabricating a delicate part, the machinist tempered the material gradually to avoid losing the fine details to warping.",literal,lose temper,Zero-shot
"During the tempering phase, the chocolate became unstable and they almost lost the perfect gloss.",literal,lose temper,Zero-shot
The ceramicist tempered the clay before shaping it to lose any air pockets that might cause defects.,literal,lose temper,Zero-shot
"To ensure they didn't lose the necessary hardness, the technician tempered the glass at precise intervals.",literal,lose temper,Zero-shot
She tempered the molten chocolate carefully to not lose the smooth consistency required for the confections.,literal,lose temper,Zero-shot
"As the iron rapidly cooled, it lost its pliability, so the blacksmith had to quickly re-temper it.",literal,lose temper,Zero-shot
"To avoid losing the necessary viscosity, the technician tempered the hydraulic fluid under monitored conditions.",literal,lose temper,Zero-shot
"When they lost the stability of the mixture, the pharmacists re-tempered it to achieve the desired medicinal concentration.",literal,lose temper,Zero-shot
"He noticed the alloy would lose ductility if not tempered at a controlled rate, so he adjusted the furnace settings accordingly.",literal,lose temper,Zero-shot
The chef tempered the chocolate delicately to ensure not losing its silky texture.,literal,lose temper,Zero-shot
"Maintaining accuracy, the smith tempered the blade to avoid losing its durability to brittleness.",literal,lose temper,Zero-shot
The scientist re-tempered the solution after noticing they lost some critical properties due to evaporation.,literal,lose temper,Zero-shot
"During the firing process, the potter adjusted the kiln to temper the ceramics, ensuring none would lose their shape from overheating.",literal,lose temper,Zero-shot
"In the laboratory, the chemist carefully tempered the acids to prevent losing any reactive properties before the experiment.",literal,lose temper,Zero-shot
The technician tempered the metal quickly to not lose its optimal mechanical properties.,literal,lose temper,Zero-shot
