submission,category,idiom,type
Possiamo davvero prendere con le pinze questa garantita duplicazione del nostro investimento in meno di un anno?,figurato,Prendere con le pinze,Enhanced-prompting
"Anche di fronte alle difficoltà estreme, gettare la spugna non è mai stata un'opzione per loro, che hanno scelto di combattere fino alla fine.",figurato,Gettare la spugna,Enhanced-prompting
"In una discussione seria, chi ha il becco lungo spesso non viene invitato.",figurato,Avere il becco lungo,Zero-shot
"Le promesse di cambiamenti rapidi possono suonare allettanti, ma è sempre meglio prenderle con le pinze.",figurato,Prendere con le pinze,Zero-shot
"Non ho preso interamente con le pinze le notizie, nonostante siano emerse da un sito di dubbia reputazione.",figurato,Prendere con le pinze,Enhanced-prompting
"Quella mostra d'arte non ha soddisfatto i miei gusti, è il momento di rifarmi la bocca con una esposizione più stimolante.",figurato,Rifarsi la bocca,Zero-shot
"Durante la pianificazione delle strategie, si nota chiaramente che qualcuno ha il mestolo in mano.",figurato,Avere il mestolo in mano,Enhanced-prompting
Perché hai scelto di voltare la faccia a chi ti ha supportato per anni?,figurato,Voltare la faccia,Enhanced-prompting
"Il processo di pace è finito su un binario morto, con parti ancora lontane da un accordo.",figurato,Essere su un binario morto,Zero-shot
È normale che sul bus qualcuno attacchi bottone con te e non ti lasci più in pace fino a quando non scendi?,figurato,Attaccare bottone,Enhanced-prompting
"Anche quando sembrava che tutto fosse contro di lui, Luca è rimasto in sella, dimostrando una resilienza ammirevole.",figurato,Rimanere in sella,Enhanced-prompting
"Nel tentativo di riordinare la libreria, i libri sparsi per il pavimento erano proprio tra i piedi.",figurato,essere tra i piedi,Enhanced-prompting
"Nelle grandi aziende, a volte è preferibile coltivare il proprio orto piuttosto che coinvolgersi in ogni dinamica interna.",figurato,Coltivare il proprio orto,Zero-shot
Voltare la faccia alle difficoltà non le rende meno reali.,figurato,Voltare la faccia,Zero-shot
"Tuo padre ha il mestolo in mano in casa vostra, giusto?",figurato,Avere il mestolo in mano,Enhanced-prompting
"Dopo mesi di rap americano, vorrei rifarmi la bocca con un bel po' di musica classica italiana.",figurato,Rifarsi la bocca,Zero-shot
"Terminato quel romanzo così deludente, ho subito preso dalla mia libreria un classico per rifarmi la bocca con qualcosa di indiscutibilmente buono.",figurato,Rifarsi la bocca,Enhanced-prompting
"Quando parli con quell'entusiasmo, sembra che tu abbia birra in corpo.",figurato,avere birra in corpo,Zero-shot
"L'ultima volta che abbiamo parlato, mi ha detto di aver ammainato le vele, accettando un ruolo meno esigente.",figurato,Ammainare le vele,Enhanced-prompting
"Imparare a cucinare piatti gourmet da diverse cucine del mondo è stata la scelta di Giulia per coltivare il proprio orto, ampliando le sue abilità culinarie e arricchendo la sua vita con nuovi sapori.",figurato,Coltivare il proprio orto,Enhanced-prompting
L'intera classe si è buttata giù a studiare intensamente alla vigilia dell'esame.,figurato,Buttare giù,Zero-shot
Avere ospiti in casa quando devi lavorare può davvero finire per essere tra i piedi.,figurato,essere tra i piedi,Zero-shot
"Nonostante la serietà della situazione, il suo atteggiamento leggero faceva pensare che avesse ancora della birra nel corpo.",figurato,Avere ancora della birra nel corpo,Zero-shot
"Nonostante le numerose sfide iniziali del progetto, una volta risolte le complicazioni burocratiche, la realizzazione è andata a gonfie vele, portando a termine il lavoro con risultati brillanti e prima del tempo previsto.",figurato,Andare a gonfie vele,Enhanced-prompting
