submission,category,idiom,type
"I'm walking on eggshells around her today, afraid she'll blow her top.",figurative,blow top,Zero-shot
"Despite the initial excitement, the festival organizers had to pull the plug due to unforeseen weather conditions.",figurative,pull plug,Zero-shot
"With a few hours left before the deadline, the team made hay, finalizing the proposal that would secure their funding.",figurative,make hay,Zero-shot
"While navigating the ups and downs of the stock market, investors are often advised not to lose heart during temporary downturns.",figurative,lose heart,Zero-shot
"The tech startup eagerly received the nod from the investors, securing crucial funding for their project.",figurative,get nod,Zero-shot
"It's as if they have misfortune scripted into their life's drama, always ready for a surprise entrance.",figurative,have misfortune,Zero-shot
The success of his latest novel allowed him to make a pile from worldwide sales.,figurative,make pile,Zero-shot
"Whenever the computer crashes, I can’t help but lose my temper, knowing I might have lost all my unsaved work.",figurative,lose temper,Zero-shot
He made hay by turning his hobby into a full-time business during the crafting boom.,figurative,make hay,Zero-shot
He blew the whistle on the fraudulent activities he noticed in the accounts department.,figurative,blow whistle,Zero-shot
I tend to lose my temper when people don't respect my time and arrive late.,figurative,lose temper,Zero-shot
"Despite the creative team's efforts, the studio pulled the plug on the film series due to declining interest.",figurative,pull plug,Zero-shot
"Given the popularity of their debut album and their unique sound, this band has a future at the top of the charts.",figurative,have future,Zero-shot
"She walked on eggshells around the office, knowing that anyone could be given the sack in the ongoing restructure.",figurative,give sack,Zero-shot
"He had a fling with vintage car restoration, dedicating weekends to bringing an old Mustang back to glory.",figurative,have fling,Zero-shot
"When the opposition party got wind of the corruption allegations, they called for an immediate investigation.",figurative,get wind,Zero-shot
"Although the instructions were overly technical, I managed to get the drift and assembled the furniture correctly.",figurative,get drift,Zero-shot
He likes to keep tabs on the stock market to capitalize on any quick gains.,figurative,keep tab,Zero-shot
"After rigorous testing, the innovative gadget got the nod for mass production.",figurative,get nod,Zero-shot
"Right when we were about to declare victory in our fundraising campaign, they moved the goalposts, increasing the target amount.",figurative,move goalpost,Zero-shot
She made her mark in the industry by introducing an innovative approach to sustainable fashion.,figurative,make mark,Zero-shot
They worked hard all year and were excited to kick up their heels at the company's annual retreat.,figurative,kick heel,Zero-shot
The young athlete's exceptional skills caught the attention of college scouts during the tournament.,figurative,catch attention,Zero-shot
"By exporting luxury goods to emerging markets, the company made a pile last fiscal year.",figurative,make pile,Zero-shot
"During the turbulent negotiations, it was vital for the diplomat not to lose his head.",figurative,lose head,Zero-shot
Anyone ready to blow the whistle on corruption may be stepping into a hornet's nest.,figurative,blow whistle,Zero-shot
"She had a fling with the culinary arts, which sparked a newfound passion for cooking that surprised all her friends.",figurative,have fling,Zero-shot
"At first, I actually believed you bought a castle, but then I realized you were just pulling my leg.",figurative,pull leg,Zero-shot
Many suspected the consultant was just blowing smoke to justify his high fees.,figurative,blow smoke,Zero-shot
"He promised he wouldn’t make a scene at the reunion, yet there he was, loudly airing old grievances.",figurative,make scene,Zero-shot
"Every time he had an important meeting, he made sure to wear his lucky tie, believing it would bring luck.",figurative,bring luck,Zero-shot
