submission,category,idiom,type
"Eşitlik için yapılan mücadelelere karşı çıkmak, adalet terazisini dengesiz bırakır.",mecaz,Karşı çıkmak,Zero-shot
"Oyunun kırılma anı, takımının şampiyonluğa yol açacak bir seri başlatmasına neden oldu.",mecaz,Yol açmak,Zero-shot
"Komşuluk festivali düzenleme görevini üstlenen komite üyeleri, etkinliği unutulmaz kılmak için kolları sıvadı.",mecaz,Kolları sıvamak,Zero-shot
"Şirketteki başarısızlıkla ilgili yapılan yorumlar karşısında, genel müdür olayı üstüne alıp tüm sorumluluğu üstlendi.",mecaz,Üstüne almak,Zero-shot
Sorunları erkenden çözerek kriz anlarında zaman kazanmanın önemini bir kez daha anladık.,mecaz,Zaman kazanmak,Zero-shot
"Grup içinde çatışma olmasını istemiyorsan, herkesin fikrine saygı gösterip kimsenin üzerine parmak basmamalısın.",mecaz,Parmak basmak,Zero-shot
"Yüksek lisans yaparak akademik kariyerine adım atmak, uzmanlaşmak istediği alanı daha da derinlemesine incelemesine olanak sağladı.",mecaz,Adım atmak,Zero-shot
"Sınavda öğrenciler, öğrendikleri bilgileri başarıyla ortaya koyarak hocalarını gururlandırdılar.",mecaz,Ortaya koymak,Zero-shot
"Her tartışmada adaletli olmaya çalışmak, zaman zaman haksız tarafı savunman gerektiğinde rol oynamana neden olabilir.",mecaz,Rol oynamak,Zero-shot
"Moda tasarımcısı, yeni koleksiyonunu oluştururken sokak modasının nabzını tutarak ilham alır.",mecaz,Nabzını tutmak,Zero-shot
"Yıllar süren gerginlikten sonra, ikisi de geçmişteki kırgınlıkları üstünden atmak için bir adım attılar.",mecaz,Üstünden atmak,Zero-shot
Yeni yayınlanan şiir kitabında unutulmuş sanatçılara yer verilerek eski eserler yeniden değerlendirildi.,mecaz,Yer vermek,Zero-shot
Öğrencisi olacak yetenekli gençleri üniversiteye çekebilmek için burs fonlarından el açtı.,mecaz,El açmak,Zero-shot
"Planlar aksamaya başlayınca, deneyimli bir yönetici duruma el koyarak yeni bir yol haritası çizdi.",mecaz,El koymak,Zero-shot
"İş yerindeki ayrımcı politikalara göz yumulması, çalışanlar arasında huzursuzluğa yol açıyor.",mecaz,Göz yummak,Zero-shot
"Şirketteki başarısız girişimleri defterden silmek, onları moralle yeni bir strateji geliştirmeye yönlendirdi.",mecaz,Defterden silmek,Zero-shot
"Romanın kahramanı, geçmişteki hataları için kendi vicdanına hesap vermekten kaçamıyordu.",mecaz,Hesap vermek,Zero-shot
"Öğretmenler, öğrencilerin hayatında silinmez izler bırakarak onların geleceğini şekillendirir.",mecaz,İz bırakmak,Zero-shot
Derste öğrencilere sormak için zaman ayırarak onların görüşlerine yer verdi.,mecaz,Yer vermek,Zero-shot
"Öğretmen ders anlatırken yapılan hataları öğrencilere değil de kendine mal ettiği için, herkes kendi hatalarını üstüne alıp daha dikkatli olmaya başladı.",mecaz,Üstüne almak,Zero-shot
"Çevre felaketinin ardından, şehir yöneticileri halka hesap vermek adına soruşturma başlattı.",mecaz,Hesap vermek,Zero-shot
Şirketimiz büyüyebilmesi için gerekli olan sermayeyi sağlamak üzere yatırımcılara el açtı.,mecaz,El açmak,Zero-shot
Bekleme salonunda dolaşarak ve sergilenen sanat eserlerine bakarak zaman öldürdüm.,mecaz,Zaman öldürmek,Zero-shot
"Şef, menüyü güncellerken müşterilerinin nabzını tutarak neyin popüler olduğunu görüyor.",mecaz,Nabzını tutmak,Zero-shot
Grup tartışmalarında her zaman önemli noktaları vurgulayarak fikir lideri olarak başa geçti.,mecaz,Başa geçmek,Zero-shot
"Eleştirilere maruz kalsa da, düşüncelerini ortaya koymaktan çekinmedi.",mecaz,Ortaya koymak,Zero-shot
"Konferansta, bilim insanı yapay zekânın etik boyutlarını ele alarak yeni araştırmalara işaret etti.",mecaz,Ele almak,Zero-shot
"Geçmişte bana yaşattıklarını defterden silsem de, unutmak o kadar kolay olmuyor.",mecaz,Defterden silmek,Zero-shot
"Gazetede köşe yazarları, güncel konulara yer vermekte geri kalmıyorlar.",mecaz,Yer vermek,Zero-shot
"Çağın gereklerine karşı çıkmak, kendini zamana mahkum etmektir.",mecaz,Karşı çıkmak,Zero-shot
Herkes sessizken ortamı germemek adına parmak basmayı tercih etmedim.,mecaz,Parmak basmak,Zero-shot
"Mali krizle karşı karşıya kalan şirket, hükümetten yardım talebinde bulunarak el açtı.",mecaz,El açmak,Zero-shot
"Teknoloji şirketi, yapay zeka araştırmalarına ağırlık vererek endüstri içinde öncü bir konum hedefliyor.",mecaz,Ağırlık vermek,Zero-shot
"Hayırsever iş insanı, yaptığı yardımlarla toplumda unutulmaz izler bıraktı.",mecaz,İz bırakmak,Zero-shot
"Ailevi sorunlar karşısında sıkı durmak, birliğimizi ve dayanıklılığımızı pekiştiriyor.",mecaz,Sıkı durmak,Zero-shot
"Sanatçı, tablolarıyla sanat tarihinde derin bir iz bırakmayı başardı.",mecaz,İz bırakmak,Zero-shot
"Derste ileri sürdüğü düşünceler, tartışmanın bambaşka bir boyuta taşınmasına yardımcı oldu.",mecaz,İleri sürmek,Zero-shot
"Sosyal girişimci, toplumun en zorlu sorunlarına çözüm bulma çabasıyla etrafındakilere ilham kaynağı oldu ve derin izler bıraktı.",mecaz,İz bırakmak,Zero-shot
"Yazar, eserindeki karakterler aracılığıyla insan psikolojisinin derinliklerini ortaya koydu.",mecaz,Ortaya koymak,Zero-shot
Kendi aldığı akılcı kararlarla ailesinin zor zamanlarda üstesinden gelmesini sağlayıp her defasında üste çıktı.,mecaz,Üste çıkmak,Zero-shot
Toplantıdaki eleştirileri üstüne alındı ve hemen düzeltme yapmaya koyuldu.,mecaz,Üstüne almak,Zero-shot
"Genç sanatçı, sergisinde toplumsal sorunlara dikkat çekerek duyarlılığını ortaya koydu.",mecaz,Ortaya koymak,Zero-shot
"Müdür genel bir uyarı yaptığında, bütün ekip sessiz kalırken, Leyla üstüne alındı ve hemen düzeltmeler yapmaya başladı.",mecaz,Üstüne almak,Zero-shot
Kitabın son sayfasını çevirdiğinde içinde tatlı bir hüzün meydana geldi.,mecaz,Meydana gelmek,Zero-shot
Hayatın getirdiği zorluklarla başa çıkabilmek için sıkı durmamız gerekiyor.,mecaz,Sıkı durmak,Zero-shot
"Eleştirilerin üzerine kurulan korkuları üstünden atmak, onu daha özgüvenli bir insan yaptı.",mecaz,Üstünden atmak,Zero-shot
"Bu teknolojik ilerleme, sektörde bir dönüm noktasına yol açtı.",mecaz,Yol açmak,Zero-shot
"Zorlu eleme turunda rakiplerinden sıyrılarak hepsinin üstüne çıkan sporcu, göz kamaştırdı.",mecaz,Üste çıkmak,Zero-shot
Eski kutuları karıştırırken ailemizin geçmişiyle ilgili şaşırtıcı bilgiler ortaya çıktı.,mecaz,Ortaya çıkmak,Zero-shot
"Müzisyen, duygusal şarkılarıyla her dinleyicinin kalbinde özel bir iz bıraktı.",mecaz,İz bırakmak,Zero-shot
"Yazar, romanında sosyal adaletsizlik temalarına ağırlık vermiş, böylece okuyucunun düşünce yapısını zorlamayı amaçlamış.",mecaz,Ağırlık vermek,Zero-shot
"Yazar, olay örgüsünü zekice kurgulayarak romanında gerilimi ustaca ortaya koydu.",mecaz,Ortaya koymak,Zero-shot
"Toplantıda gereksiz yere parmak basanlar, süreci yavaşlatıp grup enerjisini düşürüyor.",mecaz,Parmak basmak,Zero-shot
"Kardeşimin sürekli masum rol oynamasından sıkıldım, artık onun da hatalarını kabul etmesi gerekiyor.",mecaz,Rol oynamak,Zero-shot
"Adaletsizlik karşısında göz yumarsak, toplum olarak vicdanımızı yitiririz.",mecaz,Göz yummak,Zero-shot
"Firma, sürekli yenilik yaparak sektördeki diğer şirketlerden üste çıkmayı başardı.",mecaz,Üste çıkmak,Zero-shot
"Her ne zaman eski dostlarıyla bir araya gelse, geçmişte yaşadıkları maceraları sayıp dökmeden edemez.",mecaz,Sayıp dökmek,Zero-shot
"Uzun zamandır görmediği küçük kardeşini havaalanında ilk gördüğü an, genç adamın içi eridi.",mecaz,İçi erimek,Zero-shot
"Sınıf başkanı, düzenlenen etkinlikteki aksaklıklar için okul yönetimine hesap verdi.",mecaz,Hesap vermek,Zero-shot
Yoğun iş günlerinde yemek siparişi vererek yemek hazırlama sürecinden zaman kazandı.,mecaz,Zaman kazanmak,Zero-shot
"Şef, menüdeki yenilikleri ele alarak müşterilere farklı tatlar sunmayı hedefledi.",mecaz,Ele almak,Zero-shot
"Organizatör, etkinliğin başarısını garantiye almak için katılımcıların nabzını tutmakla meşgul.",mecaz,Nabzını tutmak,Zero-shot
Arabayı çarptıktan sonra babamın tepkisini görünce ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
"Aile içinde sürekli mükemmel ebeveyn rolü oynamak, zaman zaman onun kendi ihtiyaçlarını görmezden gelmesine sebep oluyor.",mecaz,Rol oynamak,Zero-shot
Fırtına öncesi gerekli önlemleri alarak hem güvenlik hem de zaman kazandık.,mecaz,Zaman kazanmak,Zero-shot
"Seminerde ileri sürdüğü hipotezler, uzmanların dikkatini çekti ve yoğun ilgi gördü.",mecaz,İleri sürmek,Zero-shot
"Çalışanların mola saatlerini uzatmasına göz yummak, diğerlerinin motivasyonunu düşürdü.",mecaz,Göz yummak,Zero-shot
