submission,category,idiom,type
Would you have a word with me about the shift arrangements for next week?,figurative,have word,Enhanced-prompting
"After months of hesitation, he blew the whistle, bringing the long-hidden issues to light.",figurative,blow whistle,Enhanced-prompting
The old sailor believed that whistling on the deck would bring luck and calm seas.,figurative,bring luck,Enhanced-prompting
Those who get the drift quicker tend to adapt faster to the new surroundings.,figurative,get drift,Enhanced-prompting
"During the long-drawn negotiation process, the corporation continually found it challenging to finalize the deal as their counterparts seemed intent on moving the goalposts every time an agreement appeared near.",figurative,move goalpost,Enhanced-prompting
Pulling the plug on such an outdated system proved to be a catalyst for positive change within the department.,figurative,pull plug,Enhanced-prompting
"After packing the car, they finally hit the road, excited for the journey ahead.",figurative,hit road,Enhanced-prompting
Does discussing your past experiences usually touch a nerve for you?,figurative,touch nerve,Enhanced-prompting
Make right now hay while the hierarchy is shifting.,figurative,make hay,Enhanced-prompting
"During the unforeseen network outage at school, the IT coordinator had to hold the fort, coordinating effectively with technicians and calming anxious staff and students.",figurative,hold fort,Enhanced-prompting
The concept of critical thinking has not taken root in the educational system as educators hoped it would by now.,figurative,take root,Enhanced-prompting
"Despite her best efforts, the downturn in sales ultimately led her to be given the sack.",figurative,give sack,Enhanced-prompting
"After failing to secure the necessary votes, the chairman of the board reluctantly immediately got the sack.",figurative,get sack,Enhanced-prompting
Tales of pirate treasure have long caught the imagination of children and adults alike.,figurative,catch imagination,Enhanced-prompting
"Through consistent saving and wise financial planning, they aimed to make their savings retirement pile substantially by the time they retired.",figurative,make pile,Enhanced-prompting
"While many are content with steady earnings, some venture into risky deals with the hopes of making a pile.",figurative,make pile,Enhanced-prompting
"Before you commit all our resources to this new and untested project, I urge you to hold your horses and consider all potential risks and alternatives.",figurative,hold horse,Enhanced-prompting
Can someone truly make a fortune by inventing a new medical device in such a competitive industry?,figurative,make fortune,Enhanced-prompting
"Gradly, with patience and persistence, she began to find her very own feet in the dynamic environment of her new job.",figurative,find foot,Enhanced-prompting
"The long-time editor, failing to adapt to digital trends, was finally given the sack.",figurative,give sack,Enhanced-prompting
"To really catch their attention, the presenter started with a vivid, shocking story.",figurative,catch attention,Enhanced-prompting
She's adept at blowing smoke; you never quite know where you stand with her.,figurative,blow smoke,Enhanced-prompting
Did she hit the roof when she found out they had gone ahead without her approval?,figurative,hit roof,Enhanced-prompting
"When it comes to talking up his achievements, John doesn't just blow his own trumpet—he plays an entire brass band.",figurative,blow trumpet,Enhanced-prompting
They made their mark in the tech world with a groundbreaking app that streamlined communication.,figurative,make mark,Enhanced-prompting
How can one effectively kick the habit of compulsive shopping when ads are everywhere?,figurative,kick habit,Enhanced-prompting
"If you don't jot down points during the lecture, you might lose the thread of the complex theories discussed.",figurative,lose thread,Enhanced-prompting
Have you ever hit the wall while trying to finish a painting?,figurative,hit wall,Enhanced-prompting
"Unknowingly, he got wind of the committee's choice for the annual award, spoiling the formal reveal.",figurative,get wind,Enhanced-prompting
"With a passion for social justice and a sharp legal mind, he clearly has a future on the world stage of human rights advocacy.",figurative,have future,Enhanced-prompting
"Oliver slipped on the icy sidewalk and hit his head hard against the ground, briefly causing him to see stars as he lay dazed.",figurative,see star,Enhanced-prompting
Who will get the nod to start in tomorrow's game remains the coach's tough decision.,figurative,get nod,Enhanced-prompting
"He made his mark with his dissertation on renewable energy, which was later published in several esteemed academic journals.",figurative,make mark,Enhanced-prompting
"The elderly man, passionate about sharing his wartime experiences, often lost the thread of his own tales, meandering through unrelated anecdotes that left his audience more perplexed than enlightened.",figurative,lose thread,Enhanced-prompting
"The unexpected policy shifts, taking everyone by surprise, laid systematically waste to years of progress in renewable energy investments.",figurative,lay waste,Enhanced-prompting
"The townspeople had misfortune beset their harvests, yet their communal strength saw them through the hard times.",figurative,have misfortune,Enhanced-prompting
"Mid-season, officials decided to controversially move the previously agreed-upo***n goalposts.",figurative,move goalpost,Enhanced-prompting
"The novel's plot hit a wall halfway through, leaving readers disappointed with the sudden lack of development.",figurative,hit wall,Enhanced-prompting
No sooner had the secret meeting concluded than the competitors got wind of the merger discussions.,figurative,get wind,Enhanced-prompting
"Exploring renewable energy solutions, this small community clearly has a future in leading environmental change.",figurative,have future,Enhanced-prompting
"Parading down the main street, the parade marshal cut a festive figure in his elaborate costume and buoyant demeanor.",figurative,cut figure,Enhanced-prompting
How does a political leader hold sway in such a polarized environment?,figurative,hold sway,Enhanced-prompting
"Mismanagement eventually led him to get the sack, despite his former successes.",figurative,get sack,Enhanced-prompting
"The diplomatic envoy worked to hold peace, hold negotiations, and ultimately hold sway in the international summit discussions.",figurative,hold sway,Enhanced-prompting
"Every word she said was calculated to make him hit a higher degree of anger, right up to the roof.",figurative,hit roof,Enhanced-prompting
It's incredible how quickly she managed to kick the habit once she set her mind to it.,figurative,kick habit,Enhanced-prompting
Is it really worth it to lose your cool over a project delay that could be easily negotiated?,figurative,lose cool,Enhanced-prompting
Isn't it dangerous how some drivers just lose their temper over minor traffic issues?,figurative,lose temper,Enhanced-prompting
"The guests kicked their heels in anticipation, growing restless as the event's start time was pushed back yet again.",figurative,kick heel,Enhanced-prompting
"The company launched an elaborate campaign focusing on its award-winning customer service, blatantly choosing to blow its own trumpet to outshine competitors.",figurative,blow trumpet,Enhanced-prompting
She managed the project seamlessly but never once blew her own trumpet; her modesty was as commendable as her skill.,figurative,blow trumpet,Enhanced-prompting
Could you have word with the chef about the menu alterations?,figurative,have word,Enhanced-prompting
"Despite the mounting pressures at work, she somehow managed not to blow her top.",figurative,blow top,Enhanced-prompting
"After explaining the overall strategy, he paused and asked, ""Do you all get the drift, or should I go over any point in more detail?""",figurative,get drift,Enhanced-prompting
"Whenever she doesn't get her way, she has a tendency to make a scene, drawing unnecessary attention.",figurative,make scene,Enhanced-prompting
The whole afternoon was spent kicking our heels at the station due to the unforeseen train delay.,figurative,kick heel,Enhanced-prompting
"In the boardroom, Elaine cut a figure of authority and determination, her sharp suit complementing her no-nonsense approach to negotiation.",figurative,cut figure,Enhanced-prompting
The bold tagline chosen for the campaign was cleverly designed to touch an emotional nerve among viewers.,figurative,touch nerve,Enhanced-prompting
"By encapsulating the essence of the futuristic city, the artist successfully caught the imagination of the gallery visitors.",figurative,catch imagination,Enhanced-prompting
"When the ball unexpectedly hit him in the face during the match, he fell to the ground and saw stars.",figurative,see star,Enhanced-prompting
The policy does seem to have potential to influence and shape a better future.,figurative,have future,Enhanced-prompting
"Despite stiff competition, the innovative startup got the nod from investors during last night's funding round.",figurative,get nod,Enhanced-prompting
Have I touched a nerve by asking about your plans for the future?,figurative,touch nerve,Enhanced-prompting
Why not have a fling with teaching English abroad to see if it suits your desire for travel and education?,figurative,have fling,Enhanced-prompting
"After many years of struggle, he finally managed to kick the habit.",figurative,kick habit,Enhanced-prompting
Can you hold the fort here while I step out to grab lunch?,figurative,hold fort,Enhanced-prompting
Is it realistic for someone starting late in their career to still make pile for a decent retirement?,figurative,make pile,Enhanced-prompting
"During the workshop, the introduction of unexpected materials and challenging prompts managed to set fire to the artists' creativity, resulting in a vibrant and eclectic exhibition of new works.",figurative,set fire,Enhanced-prompting
She is set to make her own mark in the corporate world.,figurative,make mark,Enhanced-prompting
