submission,category,idiom,type
"Ahmet, pazardan aldığı taze ayvaları yemek için sabırsızlanıyordu.",gerçek,Ayvayı yemek,Zero-shot
"Yemekte, ana yemek olarak kızartılmış ayva servis edildi.",gerçek,Ayvayı yemek,Zero-shot
Ayvaları yemek için özenle soydum ve dilimledim.,gerçek,Ayvayı yemek,Zero-shot
"Dün akşamki yemekte en çok beğenilen tatlı, ayva tatlısıydı.",gerçek,Ayvayı yemek,Zero-shot
"Misafirlerime sunduğum özel yemekte, tarçınlı ayva tatlısı büyük ilgi gördü.",gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek için doğradım ve pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Akşam yemeğinde ayvayı tatlı olarak hazırlamaya karar verdim.,gerçek,Ayvayı yemek,Zero-shot
Yemeğe başlamadan önce herkese birer porsiyon ayva sundum.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek masasına getirdiğimde herkes tatlıyı merakla bekliyordu.,gerçek,Ayvayı yemek,Zero-shot
Yemek için ayvayı fırında pişirdikten sonra soğumaya bıraktım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek için dilimleyerek salataya ekledim.,gerçek,Ayvayı yemek,Zero-shot
"Sofraya oturduğumuzda, ayvayı yemek üzere herkese bir tabak verildi.",gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek sonrası tatlı olarak servis yapmaya karar verdim.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek için mutfakta bir tencere içinde pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Öğle yemeğinde ayvayı kullanarak lezzetli bir komposto hazırladım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemek için iyice yıkadıktan sonra ortadan ikiye böldüm.,gerçek,Ayvayı yemek,Zero-shot
Doyurucu bir yemek için ayvayı fırında karamelizasyon yöntemiyle pişirdim.,gerçek,Ayvayı yemek,Zero-shot
Yemeği hazırlarken ayvayı tatlı olarak kullanmaya karar verdim ve şekerle pişirdim.,gerçek,Ayvayı yemek,Zero-shot
"Bu akşamki yemekte, ayvayı ana yemek olarak sunacağız.",gerçek,Ayvayı yemek,Zero-shot
Yemek için ayvayı kullandım ve tüm misafirlerimden tam not aldı.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı kesip yemeği hazırlamak için pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Yemek için seçtiğim ayvayı temizleyip doğradım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemeğin yanında tatlı olarak hazırladım ve afiyetle yedik.,gerçek,Ayvayı yemek,Zero-shot
Yemeği özenle hazırladım ve ayvayı garnitür olarak kullandım.,gerçek,Ayvayı yemek,Zero-shot
Maraş usulü yemeği yaparken ayvayı ekleyip kaynatarak lezzetini artırdım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı kesip yemeği hazırlamak için pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Yemek için seçtiğim ayvayı temizleyip doğradım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yemeğin yanında tatlı olarak hazırladım ve afiyetle yedik.,gerçek,Ayvayı yemek,Zero-shot
Yemeği özenle hazırladım ve ayvayı garnitür olarak kullandım.,gerçek,Ayvayı yemek,Zero-shot
Maraş usulü yemeği yaparken ayvayı ekleyip kaynatarak lezzetini artırdım.,gerçek,Ayvayı yemek,Zero-shot
Yemeği hazırlarken ayvayı fırına verdim ve pişirme işlemine başladım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı soyup doğradıktan sonra yemeği tamamlamak üzere tencereye ekledim.,gerçek,Ayvayı yemek,Zero-shot
Yemek sırasında ayvayı dessert olarak sunmaya karar verdim.,gerçek,Ayvayı yemek,Zero-shot
Öğle yemeği için ayvayı pişirip baharatlarla tatlandırdım.,gerçek,Ayvayı yemek,Zero-shot
Dışarıda piknik yaparken yemek için ayvayı doğrayıp salataya kattım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı doğrayıp tencereye attım ve yemeği pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Yemeği tatlandırmak için birkaç dilim ayva ekledim.,gerçek,Ayvayı yemek,Zero-shot
Anneannem yemek için özel bir tarif verdi: önce ayvayı karamelize et.,gerçek,Ayvayı yemek,Zero-shot
Bugünkü yemeğimizde yanında ayva püresi servis edilecektir.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı dilimleyerek bu akşamki yemeğim için bir sos hazırladım.,gerçek,Ayvayı yemek,Zero-shot
Yemek için hazırladığımız menüde ana malzeme olarak ayvayı kullandık.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı kesip fırına verdim ve yemeği yavaş yavaş pişirmeye bıraktım.,gerçek,Ayvayı yemek,Zero-shot
"Yemeği servis etmeden önce, yanında karamelize ayva sunmaya karar verdim.",gerçek,Ayvayı yemek,Zero-shot
Yemeğin üzerine birkaç dilim ayva ekleyerek sunumu güzelleştirdim.,gerçek,Ayvayı yemek,Zero-shot
"Ayvayı doğrayıp yemeğin içine attım, böylece tatlı bir lezzet kattım.",gerçek,Ayvayı yemek,Zero-shot
Ayvayı dilimleyerek yemeğin yanında tatlı olarak servis etmeyi planladım.,gerçek,Ayvayı yemek,Zero-shot
Yemekte kullanmak üzere ayvayı temizleyip büyükçe doğradım.,gerçek,Ayvayı yemek,Zero-shot
Yemeği zenginleştirmek için tencereye birkaç parça ayva ekledim.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı küp küp kesip yemeğin içine attığımda harika bir aroma yayıldı.,gerçek,Ayvayı yemek,Zero-shot
Yemek pişerken ayvayı fırında karamelizasyon için hazırlayıp pişirdim.,gerçek,Ayvayı yemek,Zero-shot
Yemek için pişirdiğim ayvayı tatlı olarak yedik.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı doğrayıp yemeği lezzetlendirmek için kullandım.,gerçek,Ayvayı yemek,Zero-shot
Yemekte ayvayı kullandığımda lezzeti dengeliyor.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı püre haline getirip yemeğin yanında sos olarak servis ettim.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı tencereye ekleyip yemeği kaynatmaya başladım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı yıkadıktan sonra doğrayıp yemek için pişirmeye başladım.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı şekerle kaynatarak yemeğin tatlısını hazırladım.,gerçek,Ayvayı yemek,Zero-shot
Yemekte ayva kullanarak misafirlerime sağlıklı bir seçenek sundum.,gerçek,Ayvayı yemek,Zero-shot
Ayvayı önce fırında pişirip sonra yemeğin yanında sıcak servis yaptım.,gerçek,Ayvayı yemek,Zero-shot
"Yemek zamanı geldiğinde, ayvayı dilimleyip doğrudan servis tabağına yerleştirdim.",gerçek,Ayvayı yemek,Zero-shot
Dün akşam pişirdiğim yemeğin yanında taze ayva salatası çok güzel gitti.,gerçek,Ayvayı yemek,Enhanced-prompting
"Ayva dolması yaparken içine koyduğum baharatlar, yemeği harika bir lezzete büründürdü.",gerçek,Ayvayı yemek,Enhanced-prompting
"Oğlum ayvayı yemek için çok ısrar etti, bu yüzden ona tatlı yapmaya karar verdim.",gerçek,Ayvayı yemek,Enhanced-prompting
"Yemekte, ana yemek olarak kuzu eti ve yanında ayva tatlısı servis ettiler.",gerçek,Ayvayı yemek,Enhanced-prompting
"Sofraya oturduğumuzda, ayva yemeği gördüğümde tatlı krizlerimin geldiğini hissettim.",gerçek,Ayvayı yemek,Enhanced-prompting
"Sabah kahvaltısında, ayvayı yemek için özel bir reçel yaptım.",gerçek,Ayvayı yemek,Enhanced-prompting
"Marketten aldığım taze ayvaları yemek için uzun süre pişirdim, sonunda mükemmel oldular.",gerçek,Ayvayı yemek,Enhanced-prompting
"Bugün yemekte annem ayva yemeği yapacak, sabırsızlıkla bekliyorum.",gerçek,Ayvayı yemek,Enhanced-prompting
"Misafirlerimiz için hazırladığım yemekte, karamelize ayva tatlısı herkes tarafından çok beğenildi.",gerçek,Ayvayı yemek,Enhanced-prompting
"Düşündüm ve ayvayı yemek için en iyi yöntem olduğuna karar verdim, bu yüzden onları doldurarak fırınladım.",gerçek,Ayvayı yemek,Enhanced-prompting
Kazandibi yemeğin ardından ayvayı tatlı olarak sunduk ve herkes bayıldı.,gerçek,Ayvayı yemek,Enhanced-prompting
"Ayvayı yemek üzere keserken, meyvenin sertliğine hayran kaldım.",gerçek,Ayvayı yemek,Enhanced-prompting
Yiyeceğimiz yemek için marketten aldığım ayvalar çok tatlıydı.,gerçek,Ayvayı yemek,Enhanced-prompting
"Misafirlerime yemek sonrası ayva sunmak, sofraya farklı bir hava kattı.",gerçek,Ayvayı yemek,Enhanced-prompting
"Yemek menümüze ek olarak, kızartılmış ayva dilimleri ekledim ve tadı muhteşem oldu.",gerçek,Ayvayı yemek,Enhanced-prompting
"Ayvayı sofraya getirdim, herkes yemek arasında onu tatmak için sabırsızlandı.",gerçek,Ayvayı yemek,Enhanced-prompting
"Yemek sırasında ayvayı doğrayıp, herkese küçük bir tatlı gibi sundum.",gerçek,Ayvayı yemek,Enhanced-prompting
"Bu akşamki yemek menüsünde, ana yemek olarak servis edilen ayva, herkesin ilgisini çekti.",gerçek,Ayvayı yemek,Enhanced-prompting
"Öğle yemeğinde ayvayı, balıkla birlikte sunarak farklı bir lezzet deneyimi yaşattım.",gerçek,Ayvayı yemek,Enhanced-prompting
Restorandaki yemek kursunda ayvayı kullanarak yaratıcı tatlılar hazırlamayı öğrendik.,gerçek,Ayvayı yemek,Enhanced-prompting
Akşam yemeğinde ayvayı soyarken parmağımı kestim.,gerçek,Ayvayı yemek,Enhanced-prompting
"Güzel bir tatlı yemek için, ayvayı şeker ve tarçınla pişirdim.",gerçek,Ayvayı yemek,Enhanced-prompting
Yemekte kullanmak üzere ayvayı dilimlere ayırdım.,gerçek,Ayvayı yemek,Enhanced-prompting
"Ayva, yemeklerin lezzetini artırmak için mükemmel bir meyvedir.",gerçek,Ayvayı yemek,Enhanced-prompting
Ayvayı alırken en taze olanını seçmek yemeğin kalitesini artırır.,gerçek,Ayvayı yemek,Enhanced-prompting
Masaya oturur oturmaz özenle hazırladığım yemeği ve yanında dilimlediğim ayvayı servis ettim.,gerçek,Ayvayı yemek,Enhanced-prompting
"Sağlıklı bir öğle yemeği için mutfaktan ayvayı alıp, onu doğrayarak salataya ekledim.",gerçek,Ayvayı yemek,Enhanced-prompting
"Yemeğin tatlısı olarak, karamel soslu ayvayı fırına sürdüm.",gerçek,Ayvayı yemek,Enhanced-prompting
"Dışarıdan alınan bu özel yemek, ayvalı garnitürü ile daha da özel bir lezzete büründü.",gerçek,Ayvayı yemek,Enhanced-prompting
"Sofrada kimse ayvayı yemekten geri durmadı, herkes tadına bayıldı.",gerçek,Ayvayı yemek,Enhanced-prompting
Çocuklar ayvayı yemek için mutfak masasına oturdu.,gerçek,Ayvayı yemek,Enhanced-prompting
Ayvayı yemek masasına taşımadan önce güzelce yıkadım.,gerçek,Ayvayı yemek,Enhanced-prompting
Yemeği yaparken ayvayı tatlı olarak kullanmaya karar verdim.,gerçek,Ayvayı yemek,Enhanced-prompting
Pazardan alınan taze ayvayı yemek için sabırsızlanıyordum.,gerçek,Ayvayı yemek,Enhanced-prompting
Yemeğin ana malzemesi olarak ayvayı kullanmayı düşündüm.,gerçek,Ayvayı yemek,Enhanced-prompting
"Ayvayı dilimleyip, öğle yemeğinde salataya eklemeyi planladım.",gerçek,Ayvayı yemek,Enhanced-prompting
"Yemekte farklı bir tat arayanlara özel, ayvayı baharatlarla marine edip pişirdim.",gerçek,Ayvayı yemek,Enhanced-prompting
"Küçük kardeşim ayvayı yemekten çok hoşlandığı için, ona özel bir tarif geliştirdim.",gerçek,Ayvayı yemek,Enhanced-prompting
"Misafirler geliyorken, onlara özel ayvalı bir yemek hazırlamaya karar verdim.",gerçek,Ayvayı yemek,Enhanced-prompting
Yemek kursunda öğrendiğim ayvalı kek tarifini denemeye karar verdim.,gerçek,Ayvayı yemek,Enhanced-prompting
"Jimnastik dersinde, Ömer adım atarak koşuya başladı.",gerçek,Adım atmak,Zero-shot
"Sahilde yürürken, sık sık adım atıp taşları suya atmaktan keyif alıyorum.",gerçek,Adım atmak,Zero-shot
Ormanda yüksek bir kayaya tırmanırken birden adım atmam gerekti ve dengemi kaybederek aşağıya doğru bir taş attım.,gerçek,Adım atmak,Zero-shot
"Spor salonunda, atlama kutusuna doğru hızlıca adım atarak üzerine atladım.",gerçek,Adım atmak,Zero-shot
"Bahçede çalışırken, yürüme yollarının arasındaki topraklara düzenli adım atıp tohumları toprağa atmam gerekiyordu.",gerçek,Adım atmak,Zero-shot
"Parkta hızlıca adım atarken, elime takılan çiçeği yere doğru atmamla birlikte renkli bir kelebek uçuşmaya başladı.",gerçek,Adım atmak,Zero-shot
Futbol maçında topa doğru adım atıp onu kuvvetlice kaleye atmaya çalıştım.,gerçek,Adım atmak,Zero-shot
Yoga sınıfında dengemi koruyabilmek için yavaşça adım atıp matımın üzerinde duruyordum.,gerçek,Adım atmak,Zero-shot
Karda yürürken öne adım atıp sonra arkadaşlarıma kar topu atmaktan büyük zevk aldım.,gerçek,Adım atmak,Zero-shot
"Dağda yürüyüş yaparken, bir adım atmam gerekiyordu ve bu yüzden sırt çantamı daha ileriye atmam gerekti.",gerçek,Adım atmak,Zero-shot
"Sofya, topa doğru adım atıp onu güçlü bir şekilde yukarıya atmaya başardı.",gerçek,Adım atmak,Zero-shot
"Sokakta hızla adım atarken, yanımdan geçen bisikletliye çarpmamak için su şişemi yola atmam gerekti.",gerçek,Adım atmak,Zero-shot
"Çocuk parkında oyun oynarken, bir adım atıp elindeki topla birlikte kumdan kaleye topu atmaya çalıştı.",gerçek,Adım atmak,Zero-shot
"Orman yolu boyunca adım atmaya devam ederken, yanımdan geçen bir sincaba meşe palamudu atmamla o da kaçıştı.",gerçek,Adım atmak,Zero-shot
"Yürüme yarışında hızlıca adım atmam gerekirken, önümdeki engeli aşmak için bastonumu ileriye doğru attım.",gerçek,Adım atmak,Zero-shot
Köpeğin oyuncak topunu alması için havada bir adım atıp yüksek bir şekilde onu atmamız eğlenceliydi.,gerçek,Adım atmak,Zero-shot
"Plaj voleybolu oynarken, topa vurmam için ileriye doğru bir adım atıp güçlü bir şekilde onu rakip alana atmam gerekiyordu.",gerçek,Adım atmak,Zero-shot
"Çocuklarla bahçede oynarken, onlara kağıttan uçak yapmayı öğrettim; bir adım atmadan önce onları güçlü bir şekilde yukarıya atmaları konusunda yönlendirdim.",gerçek,Adım atmak,Zero-shot
"Yürüyüş yaparken, ayakkabılarımda biriken çamuru temizlemek için sık sık adım atıp ayakkabılarımı sert bir şekilde yere atmam gerekiyordu.",gerçek,Adım atmak,Zero-shot
"Kayak yaparken, dik bir inişten önce dengemi sağlamak için ileri doğru bir adım atıp kayaklarımı karın üzerinde hızla atmam gerekti.",gerçek,Adım atmak,Zero-shot
"Çocuklar, elma toplamak için ağaca doğru birkaç adım atıp sepetlerini yere atmışlardı.",gerçek,Adım atmak,Zero-shot
"Kaleci, topa vurmak için hızla adım atıp onu mümkün olduğunca uzağa atmaya çalıştı.",gerçek,Adım atmak,Zero-shot
"Bahçede çalışırken, düzenli olarak dikilen fideye zarar vermemek için adım atıp tarım aletlerini kenara atmam gerekiyordu.",gerçek,Adım atmak,Zero-shot
"Atletizm yarışında, ciriti fırlatmadan önce hız kazanmak için birkaç adım atıp sonra ciriti güçlü bir şekilde atmıştı.",gerçek,Adım atmak,Zero-shot
"Sahilde yürüyüş yaparken, köpekleri için çubukları ileriye doğru adım atarak atmalarını izlemek keyifliydi.",gerçek,Adım atmak,Zero-shot
"Maraton sırasında yorulan koşucu, son gücüyle bir adım daha atıp su şişesini kenardaki çöp kutusuna atmıştı.",gerçek,Adım atmak,Zero-shot
"Karşı kaldırıma geçmek için aceleyle birkaç adım atıp, elindeki eski gazeteyi geri dönüşüm kutusuna atmıştım.",gerçek,Adım atmak,Zero-shot
"Bahçe sularken, hortumu daha uzak bitkilere su yetiştirmek için bir adım atıp hortumu ileriye doğru atmam gerekti.",gerçek,Adım atmak,Zero-shot
"Dağda yürüyüş yaparken, yüksek bir taşın üzerine çıkmak için hızla birkaç adım atıp sırt çantamı yukarı atmıştım.",gerçek,Adım atmak,Zero-shot
"Bisikletten inerken, dengemi sağlamak için öne doğru bir adım atıp bisikletimi yanımdaki ağaca yaslamıştım.",gerçek,Adım atmak,Zero-shot
Koşu bandında hızlanırken bir adım daha atıp terimle sırılsıklam olmuş havluyu yere atmıştım.,gerçek,Adım atmak,Zero-shot
"Piknik yerine varınca, battaniyeyi düzgün sermek için iki adım atıp piknik sepetini çimlere atmıştık.",gerçek,Adım atmak,Zero-shot
"Kaya tırmanışı sırasında, zirveye ulaşmak için büyük bir adım atıp elimdeki ipi arkadaşlarıma atmıştım.",gerçek,Adım atmak,Zero-shot
"Kedimi yakalamak için öne doğru hızlıca birkaç adım atıp, oyuncak fareyi ona doğru atmıştım.",gerçek,Adım atmak,Zero-shot
"Havuza dalarken, havuz kenarında birkaç adım attıktan sonra kendimi suya atmıştım.",gerçek,Adım atmak,Zero-shot
"Plajda voleybol oynarken, topa doğru bir adım atıp onu güçlüce diğer tarafa atmıştım.",gerçek,Adım atmak,Zero-shot
Kamp alanına gelir gelmez çadırımı kurmak için uygun bir yer bulduktan sonra çadır çantamı bir adım ileriye atıp yerine koydum.,gerçek,Adım atmak,Zero-shot
"Dağ yürüyüşünde ileriye doğru birkaç adım atıp, bozuk taşları yolumdan atmaya çalıştım.",gerçek,Adım atmak,Zero-shot
"Sokakta yürürken başıma bir kuş pislediğinde, şapkatıma sinirlenip bir adım yana atarak şapkamı kaldırıma fırlattım.",gerçek,Adım atmak,Zero-shot
"Basketbol maçında, potaya yakın bir pozisyonda olduğum için sadece bir adım atıp topu smaçlamak için havaya atmıştım.",gerçek,Adım atmak,Zero-shot
"Piknik alanına varır varmaz, örtüyü daha iyi sermek için bir adım atıp sepeti yere atmıştım.",gerçek,Adım atmak,Zero-shot
Yürüyüş yaparken karşılaştığım engelden geçebilmek için ileriye doğru bir adım atıp elindeki dalı kenara atmıştı.,gerçek,Adım atmak,Zero-shot
Parkta köpeğimle oynarken bir adım öne atarak ona frizbiyi atmıştım.,gerçek,Adım atmak,Zero-shot
"Caddede hızla yürürken, mendili bir adım ileriye atarak rüzgarın onu götürmesini sağladım.",gerçek,Adım atmak,Zero-shot
"Jimnastik dersinde, mindere doğru hızlı bir adım atıp ardından denge çubuğunu yere atmıştım.",gerçek,Adım atmak,Zero-shot
"Derste sinirlenen öğretmen, tahtaya doğru bir adım atıp tebeşiri yere atmıştı.",gerçek,Adım atmak,Zero-shot
"Yangından kaçarken, alevlere doğru bir adım atmamak için geriye doğru ceketimi atmıştım.",gerçek,Adım atmak,Zero-shot
"Kızım, parkta bisikletten düşmemek için hızla bir adım atıp dengesini sağladı ve bisikletini çimenlere atmıştı.",gerçek,Adım atmak,Zero-shot
"Sahilde yürürken, denize yaklaşıp martılara yem atmak için ileriye doğru bir adım atmıştım.",gerçek,Adım atmak,Zero-shot
Konserde en iyi görüş açısını yakalamak için kalabalığın önüne birkaç adım atıp cep telefonumu havaya atmıştım.,gerçek,Adım atmak,Zero-shot
"Sahilde koşarken, cansız bir martıyı gördüm ve ona zarar vermemek için hızla bir adım atıp yönümü değiştirerek kumları yanıma atmıştım.",gerçek,Adım atmak,Zero-shot
"Bahçe sulama işini bitirirken, hortumu bir kenara atmam gerektiği için önce bir adım geri atıp sonra hortumu yere atmıştım.",gerçek,Adım atmak,Zero-shot
Basketbol oynarken topu çemberden geçirmek için hızla ileriye bir adım atıp ardından topu kuvvetle atmıştım.,gerçek,Adım atmak,Zero-shot
"Kar üzerinde yürürken, karın kalınlığını test etmek için öne doğru bir adım atıp ayaklarımı sertçe yere atmıştım.",gerçek,Adım atmak,Zero-shot
"Eski mobilyaları dışarı çıkarmak için, kapı eşiğinden bir adım atıp eski sandalyeyi dışarıya atmıştım.",gerçek,Adım atmak,Zero-shot
"Berke, ip atlamak için yere doğru bir adım atıp ipi hızla atmıştı.",gerçek,Adım atmak,Zero-shot
Kamp kurarken çadırın içine su sızmaması için hafif bir yükseltiye bir adım atıp çantamı oraya atmıştım.,gerçek,Adım atmak,Zero-shot
"Eğimli yolda bisiklet sürerken, dengeyi sağlamak için hızla bir adım atıp su şişemi yola atmıştım.",gerçek,Adım atmak,Zero-shot
"Yangın tatbikatında, güvenli bölgeye ulaşmak için ileriye doğru bir adım atmam ve yangın tüpünü çıkarıp atmam gerekti.",gerçek,Adım atmak,Zero-shot
Kız kardeşim model uçağını uçurabilmek için geriye bir adım atıp uçağı güçlü bir şekilde atmıştı.,gerçek,Adım atmak,Zero-shot
Futbol turnuvasında her oyuncu topa adım atarak hız kazanıyor.,gerçek,Adım atmak,Enhanced-prompting
"Resim sergisinde ilerlerken, bir adım atıp yanımdaki tabloyu daha yakından inceledim.",gerçek,Adım atmak,Enhanced-prompting
"Ormanda yürüyüş yaparken, bir kökten dolayı tökezleyip ileriye doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
Çocuk parkta oyun oynarken birdenbire adım atıp hızla koşmaya başladı.,gerçek,Adım atmak,Enhanced-prompting
"Fitness eğitmeni, doğru formu göstermek için öne doğru bir adım attı.",gerçek,Adım atmak,Enhanced-prompting
Yoga dersinde bir sonraki poza geçmek için yavaşça sağa adım attı.,gerçek,Adım atmak,Enhanced-prompting
"Kayak yaparken, dengemi korumak için hızlıca ileri doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
"Sahildeyken, suya girerken ilk adımı atmak üzereyim.",gerçek,Adım atmak,Enhanced-prompting
"Bisikletimle düşmek üzereyken, hızla adım atıp kendimi tuttum.",gerçek,Adım atmak,Enhanced-prompting
Dans ederken ritme uygun olarak sağa bir adım attı.,gerçek,Adım atmak,Enhanced-prompting
"Müze ziyaretim sırasında, bir heykeli daha iyi görebilmek için hızla ileriye doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
"Koşu bandında, tempo arttığında daha hızlı adım atarak uyum sağladım.",gerçek,Adım atmak,Enhanced-prompting
"Göletin etrafında yürürken, su birikintisinden kaçınmak için yan tarafa adım attım.",gerçek,Adım atmak,Enhanced-prompting
"Kedi yolumu kesince, ona çarpmamak için hemen sola doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
Basketbol maçında topu kapabilmek için öne doğru adım atarak sıçradım.,gerçek,Adım atmak,Enhanced-prompting
Etkileyici manzarayı daha iyi görebilmek için tepeye doğru birkaç adım daha attım.,gerçek,Adım atmak,Enhanced-prompting
"Bagajı arabaya yüklerken, üzerine basmamak için kutunun yanına doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
"İp atlarken, ipin altından geçmek için zamanında adım atmak çok önemli.",gerçek,Adım atmak,Enhanced-prompting
"Karşıdan karşıya geçerken, hızla yaklaşan araca yol vermek için geriye doğru adım attım.",gerçek,Adım atmak,Enhanced-prompting
"Mutfakta yemek yaparken, ocaktan sıçrayan yağdan kaçınmak için aceleyle arkaya adım attım.",gerçek,Adım atmak,Enhanced-prompting
"Kaleci, topu adım atarak daha ileri bir noktaya fırlattı.",gerçek,Adım atmak,Enhanced-prompting
"Koşucu, pist üzerinde hızlı adımlar atarak rekor kırdı.",gerçek,Adım atmak,Enhanced-prompting
"Sergiye katılan sanatçı, eserlerini daha iyi sergileyebilmek için özenle adım atıyordu.",gerçek,Adım atmak,Enhanced-prompting
"Dansçı, sahnede adımlarını ritmik bir şekilde atarak izleyicileri büyüledi.",gerçek,Adım atmak,Enhanced-prompting
"Basketbol oyuncusu, potaya daha yakın bir pozisyon alabilmek için hızlı adımlar attı.",gerçek,Adım atmak,Enhanced-prompting
"Çocuk, oyuncak arabasını daha ileri götürebilmek için heyecanla birkaç adım attı.",gerçek,Adım atmak,Enhanced-prompting
"Bahçıvan, ağaçları sulamak için hortumu taşırken dikkatlice adım atıyordu.",gerçek,Adım atmak,Enhanced-prompting
"Oyuncu, sahneye çıkmadan önce gergin bir şekilde sahne arkasında adım atmaya başladı.",gerçek,Adım atmak,Enhanced-prompting
"Arkeolog, kazı alanında yeni bir keşif yapabilmek için dikkatli adımlar atarak ilerledi.",gerçek,Adım atmak,Enhanced-prompting
"Fotoğrafçı, mükemmel açıyı yakalayabilmek için kıyı boyunca adım atarak ilerledi.",gerçek,Adım atmak,Enhanced-prompting
Çocuklar parkta koşarken birbirlerine yaklaşmak için sevinçle adım attılar.,gerçek,Adım atmak,Enhanced-prompting
"Kaleci, topa doğru birkaç hızlı adım atarak kurtarışını yaptı.",gerçek,Adım atmak,Enhanced-prompting
