submission,category,idiom,type
彼と僕は水と油のように合わない性格だったが、それが互いの成長に繋がった。,figurative,水と油,Zero-shot
連日の残業にもかかわらず、常にチームのモチベーションを高める彼に頭が下がること間違いなしです。,figurative,頭が下がる,Enhanced-prompting
注意されても彼はいつも右から左へと流すのみで、行動を改める気配がない。,figurative,右から左,Zero-shot
長年にわたり会社を牽引してきた社長の引退スピーチは、多くの同僚に感動を与え、頭が下がるほどの敬意を集めました。,figurative,頭が下がる,Enhanced-prompting
映画の初日は大盛況だったが、批評家の辛辣なレビューが出始めると、観客の熱も冷めてしまった。,figurative,熱が冷める,Zero-shot
小さな言い争いは水に流して、友情を大切にしよう。,figurative,水に流す,Zero-shot
友人との事業を始めるときは意気揚々としていたが、数ヶ月経つと徐々に熱が冷めてきた。,figurative,熱が冷める,Zero-shot
彼は型にはまらない方法で問題を解決することで知られている。,figurative,型にはまる,Zero-shot
地方自治体も予算削減で首が回らないところが増えてきているようだ。,figurative,首が回らない,Zero-shot
問題を解決するためには、まず腹を割って現状を共有することから始めよう。,figurative,腹を割る,Zero-shot
傷ついた友人の姿を前に、私は深く胸を痛めた。,figurative,胸を痛める,Zero-shot
ビーチでサーフィンを楽しむ人たちを見ながら、泳げない私は砂浜で指をくわえて眺めていた。,figurative,指をくわえる,Zero-shot
水に流す心がけがあれば、友人関係も長く続く。,figurative,水に流す,Enhanced-prompting
組織の暗部から足を洗った後、彼は自己改革に力を入れるようになった。,figurative,足を洗う,Zero-shot
地域社会において環境保護の意識が頭をもたげ、さまざまな活動が展開されている。,figurative,頭をもたげる,Zero-shot
出費がかさみ、今月の家計は首が回らない。,figurative,首が回らない,Zero-shot
彼は新しい町での生活に慣れ、地元の人々とのつながりを深めることでしっかりと根を張った。,figurative,根を張る,Zero-shot
組織内の分裂が解決されたとはいえ、まだ信頼の回復には時間がかかり、その後の雰囲気に尾を引いてしまっています。,figurative,尾を引く,Enhanced-prompting
彼は自分のスポーツキャリアに幕を閉じる決断を下した。,figurative,幕を閉じる,Zero-shot
返済の期日が迫っているが、このままでは資金繰りが首が回らない。,figurative,首が回らない,Zero-shot
面接で腹を割って自分の強みと弱みについて語ることで、面接官の信頼を得ることができた。,figurative,腹を割る,Zero-shot
彼女の言葉がきっかけとなり、真実を解明する幕が開いた瞬間であった。,figurative,幕が開く,Enhanced-prompting
複雑な説明を聞いても、彼女にとって右から左で、すぐに忘れてしまう。,figurative,右から左,Zero-shot
会議での彼の発言は、常に人を食うような鋭さで、他のメンバーを黙らせる。,figurative,人を食う,Enhanced-prompting
新開設されたショッピングモールが幕を開け、地域経済に新たな活力をもたらした。,figurative,幕を開ける,Zero-shot
最新のガジェットに夢中な彼と、本好きの私とでは、興味が水と油のようだ。,figurative,水と油,Zero-shot
彼の積極的な交渉が実を結び、重要なビジネス契約が成立した。,figurative,実を結ぶ,Zero-shot
彼女の退職が尾を引いて、チームの士気が大きく下がってしまった。,figurative,尾を引く,Zero-shot
新しい文化や価値観が地域社会に浸透し、徐々に根を下ろし始めているのが見て取れる。,figurative,根を下ろす,Zero-shot
チームメンバーが警告してくれたおかげで、今回は彼の罠に手に乗らずに済んだ。,figurative,手に乗る,Enhanced-prompting
彼女の突拍子もないアイデアが会議室で宙に浮くような静寂を生んだ。,figurative,宙に浮く,Zero-shot
彼らのパートナーシップが正式に発表された時、二人の共同事業の幕が開いた。,figurative,幕が開く,Enhanced-prompting
地元の小さな商店は、ライバル企業の台頭によって、経営が首が回らない状態に陥っています。,figurative,首が回らない,Enhanced-prompting
彼女の子どもがスピーチコンテストで最優秀賞を獲得し、それを聞いた彼女は鼻が高くて仕方がなかった。,figurative,鼻が高い,Enhanced-prompting
