submission,category,idiom,type
庭であぐらをかいて、静かに本を読んだ。,literal,あぐらをかく,Zero-shot
彼は公園のベンチに座り、あぐらをかいてリラックスしている。,literal,あぐらをかく,Zero-shot
子供たちは畳の部屋であぐらをかきながらゲームを楽しんでいた。,literal,あぐらをかく,Zero-shot
彼女はあぐらをかいたままで、床に散らばったおもちゃを拾い上げた。,literal,あぐらをかく,Zero-shot
あぐらをかくのが苦手な彼は、座布団を使って少し楽に座る方法を試みた。,literal,あぐらをかく,Zero-shot
彼はテラスであぐらをかいて、朝食を楽しんでいた。,literal,あぐらをかく,Zero-shot
あぐらをかきながら、彼女は瞑想の時間を過ごした。,literal,あぐらをかく,Zero-shot
リビングであぐらをかくと、彼はテレビを見始めた。,literal,あぐらをかく,Zero-shot
彼女は毛布を広げて、その上であぐらをかいた。,literal,あぐらをかく,Zero-shot
教室の角に座って、あぐらをかきつつ本を読む姿が見えた。,literal,あぐらをかく,Zero-shot
長時間ドライブの後、彼はピクニックエリアで休憩し、あぐらをかいた。,literal,あぐらをかく,Zero-shot
緑豊かな庭であぐらをかきながら、友達とピクニックをした。,literal,あぐらをかく,Zero-shot
彼女は語学の授業中にあぐらをかいて座り、先生の話をじっくり聞いていた。,literal,あぐらをかく,Zero-shot
彼はデッキ上であぐらをかきながら日の出を眺めた。,literal,あぐらをかく,Zero-shot
特大サイズの座椅子にあぐらをかいて座り、映画を見始めた。,literal,あぐらをかく,Zero-shot
庭であぐらをかくのがこれほど心地よいとは思わなかった。,literal,あぐらをかく,Zero-shot
彼は畳の部屋であぐらをかいて、昔の写真を眺めていた。,literal,あぐらをかく,Zero-shot
あぐらをかきつつ、彼女は手作りのランチを楽しんでいる。,literal,あぐらをかく,Zero-shot
子どもたちは園であぐらをかいて、虫取りに興じていた。,literal,あぐらをかく,Zero-shot
キャンプ場で焚き火の前にあぐらをかき、星空を眺めた。,literal,あぐらをかく,Zero-shot
彼女は海岸で砂浜に座り、日の出を見ながらあぐらをかいた。,literal,あぐらをかく,Zero-shot
私たちは屋敷の広い和室であぐらをかくことにした。,literal,あぐらをかく,Zero-shot
冬の晴れた日、彼はベランダでホットコーヒーを飲みながらあぐらをかいていた。,literal,あぐらをかく,Zero-shot
彼女は図書室の角であぐらをかいて、本に集中している。,literal,あぐらをかく,Zero-shot
教室での自習時間に、彼は座布団の上であぐらをかきながら勉強に励んでいた。,literal,あぐらをかく,Zero-shot
庭にて桜の木の下で彼はあぐらをかき、花見を楽しんでいた。,literal,あぐらをかく,Zero-shot
畳の部屋にて、私たちはあぐらをかきながら茶道のレッスンに臨んだ。,literal,あぐらをかく,Zero-shot
彼は公園の芝生に座り、あぐらをかいて友人と話をしていた。,literal,あぐらをかく,Zero-shot
居間でテレビを見つつ、彼女はソファにあぐらをかいて座っていた。,literal,あぐらをかく,Zero-shot
山の頂上に着いた彼は、景色を楽しむためにあぐらをかいて休憩した。,literal,あぐらをかく,Zero-shot
彼は広いリビングであぐらをかいて、映画を鑑賞していた。,literal,あぐらをかく,Zero-shot
友達とキャンプに行った際、彼はテントの中であぐらをかいてカードゲームを楽しんだ。,literal,あぐらをかく,Zero-shot
彼女は芝生の上であぐらをかきながら、新しい本を読み始めた。,literal,あぐらをかく,Zero-shot
音楽会の間、彼はホールの後ろであぐらをかいてじっと聞いていた。,literal,あぐらをかく,Zero-shot
子供達は体育館であぐらをかきつつ、お話し会を開いていた。,literal,あぐらをかく,Zero-shot
彼は教室の隅であぐらをかき、本を読んでいた。,literal,あぐらをかく,Zero-shot
彼女はビーチの砂浜に座り、あぐらをかいて海を眺めている。,literal,あぐらをかく,Zero-shot
園内のベンチで、老夫婦はあぐらをかきながらゆっくりと昼食をとった。,literal,あぐらをかく,Zero-shot
私は家の庭で毛布を敷き、あぐらをかいて夜空を見上げた。,literal,あぐらをかく,Zero-shot
彼らはキャンプファイヤーを囲み、あぐらをかいてマシュマロを焼いていた。,literal,あぐらをかく,Zero-shot
彼は朝の冷たい空気を感じながら、庭であぐらをかき、瞑想を始めた。,literal,あぐらをかく,Zero-shot
部屋の中央にクッションを置いて、私はあぐらをかいてギターを弾いた。,literal,あぐらをかく,Zero-shot
彼女は屋敷の大きな窓の前に座り、あぐらをかきながら外の景色を眺めていた。,literal,あぐらをかく,Zero-shot
彼らは畳の部屋であぐらをかいて、夜更けまで話し合いを続けた。,literal,あぐらをかく,Zero-shot
子供たちは教室の床に座布団を並べ、あぐらをかいて読書時間を過ごした。,literal,あぐらをかく,Zero-shot
公園の木陰で、彼はあぐらをかきながらスケッチブックに絵を描いていた。,literal,あぐらをかく,Zero-shot
大学の図書館で、彼女はあぐらをかいて座って勉強している学生を見かけた。,literal,あぐらをかく,Zero-shot
ヨガのクラスで先生はみんなに座ってあぐらをかくように指示した。,literal,あぐらをかく,Zero-shot
あぐらをかいたまま、彼は難しい将棋の一手を考えていた。,literal,あぐらをかく,Zero-shot
暖炉の前で、彼女はあぐらをかきながら寒い夜を暖かく過ごしていた。,literal,あぐらをかく,Zero-shot
朝日が昇るのを眺めながら、彼はビーチの砂上であぐらをかいた。,literal,あぐらをかく,Zero-shot
庭で彼女は草花に囲まれ、あぐらをかきながらスケッチをしていた。,literal,あぐらをかく,Zero-shot
休みの日、家族はリビングで一緒に映画を見るためにあぐらをかいて座った。,literal,あぐらをかく,Zero-shot
彼は学校の図書室の静かな隅であぐらをかいて、好きな小説に没頭していた。,literal,あぐらをかく,Zero-shot
コンサートの間、観客の一部は座席ではなく、床にあぐらをかいて音楽を楽しんでいた。,literal,あぐらをかく,Zero-shot
彼は自宅の居間であぐらをかいて、夜空を眺めるのが好きだ。,literal,あぐらをかく,Zero-shot
庭に座って、彼女はあぐらをかきながら新しい花の種をまいた。,literal,あぐらをかく,Zero-shot
長いハイキングの後、彼は山頂であぐらをかいて休息を取った。,literal,あぐらをかく,Zero-shot
彼女はヨガマットの上であぐらをかき、深い呼吸を続けていた。,literal,あぐらをかく,Zero-shot
教室の中央で先生があぐらをかくと、子供たちは話を聞く準備をした。,literal,あぐらをかく,Zero-shot
庭であぐらをかきながら本を読むのは至福の時間だ。,literal,あぐらをかく,Enhanced-prompting
彼は畳の上であぐらをかいた姿勢でテレビを見ていた。,literal,あぐらをかく,Enhanced-prompting
あぐらをかくことが得意な彼女は、ピクニックでその技を披露した。,literal,あぐらをかく,Enhanced-prompting
私は公園のベンチに座り、あぐらをかいて友人と話し込んだ。,literal,あぐらをかく,Enhanced-prompting
教室の隅で、小学生の一人があぐらをかいて絵本に夢中になっている。,literal,あぐらをかく,Enhanced-prompting
彼女は部屋の中央であぐらをかいて瞑想に耽っている。,literal,あぐらをかく,Enhanced-prompting
