submission,category,idiom,type
彼は新しいプロジェクトの成功を確信して、すでにあぐらをかいている。,figurative,あぐらをかく,Zero-shot
練習をサボっている選手が、そのままあぐらをかいていては、大会での成績は期待できない。,figurative,あぐらをかく,Zero-shot
昇進してから彼女は仕事に対する姿勢が変わり、ちょっとあぐらをかくようになってしまった。,figurative,あぐらをかく,Zero-shot
このメンバーたちは長年トップチームだが、常にあぐらをかかずに努力を続けている。,figurative,あぐらをかく,Zero-shot
市場でのシェアを確保した今、我々はあぐらをかくのではなく、さらなる革新を進めるべきだ。,figurative,あぐらをかく,Zero-shot
彼は初勝利により、少しあぐらをかいてしまい、次の試合で敗れた。,figurative,あぐらをかく,Zero-shot
最初の成功後、さらにあぐらをかかずに前進し続けることが重要だ。,figurative,あぐらをかく,Zero-shot
競争が激しい業界で長くトップにいるためには、決してあぐらをかくことなく革新を続けなければならない。,figurative,あぐらをかく,Zero-shot
彼女は過去の成果に満足してあぐらをかいていたが、新たな挑戦が必要だと気付いた。,figurative,あぐらをかく,Zero-shot
チーム全員が成績を良くして一息つき、少しあぐらをかいてしまったが、すぐに気を引き締める必要がある。,figurative,あぐらをかく,Zero-shot
長年の努力の後、彼はついに業界のリーダーになったが、あぐらをかかずにさらに技術革新に力を注いでいる。,figurative,あぐらをかく,Zero-shot
成績優秀な彼だが、あぐらをかいて勉強を怠ることなく、常に自己研鑽に励んでいる。,figurative,あぐらをかく,Zero-shot
新製品が市場で好評価を受けた後も、企業はあぐらをかかずに次の開発へと目を向けた。,figurative,あぐらをかく,Zero-shot
多くの賞を受賞した作家も、あぐらをかくことなく新たな作品を書き続けている。,figurative,あぐらをかく,Zero-shot
私は初めての大会で好成績を収めたが、それに満足してあぐらをかくわけにはいかない。,figurative,あぐらをかく,Zero-shot
彼はプロジェクトを成功させた後、あぐらをかいてしまい、次の課題に対応が遅れた。,figurative,あぐらをかく,Zero-shot
あのチームは昨季のチャンピオンだが、このシーズンもあぐらをかくことなく練習を積んでいる。,figurative,あぐらをかく,Zero-shot
教授は学生たちに対して、あぐらをかかずに常に学問に対する探求心を持ち続けるよう助言した。,figurative,あぐらをかく,Zero-shot
競争が激化している業界において、成果を上げたからといってあぐらをかくのは危険だ。,figurative,あぐらをかく,Zero-shot
彼は仕事で一定の地位を確保したものの、技術革新の流れに乗り遅れないようあぐらをかくことなく努力を続けている。,figurative,あぐらをかく,Zero-shot
会社が黒字に転じたが、これで安心してあぐらをかくわけにはいかない。,figurative,あぐらをかく,Zero-shot
大学入試に合格したものの、その成果にあぐらをかいては将来に影響が出る。,figurative,あぐらをかく,Zero-shot
彼は前期の良い成績にあぐらをかいて、後期の授業をおろそかにしている。,figurative,あぐらをかく,Zero-shot
彼女は競争が激しい業界で生き残るために、決してあぐらをかくことなく努力を続けている。,figurative,あぐらをかく,Zero-shot
チームはリーグで優勝したが、次のシーズンに向けてあぐらをかく時間はない。,figurative,あぐらをかく,Zero-shot
彼女は試験に合格した後も、あぐらをかくことなく更なる資格取得に励んでいる。,figurative,あぐらをかく,Zero-shot
初めてのプロジェクトが成功した新入社員も、あぐらをかいて休んでる場合ではない。,figurative,あぐらをかく,Zero-shot
企業は市場でのシェアを拡大したが、競争からあぐらをかいては業績が落ちるだろう。,figurative,あぐらをかく,Zero-shot
整備されたばかりの設備にあぐらをかくと、未来のトラブルを招くかもしれない。,figurative,あぐらをかく,Zero-shot
トップセールスマンである彼も、あぐらをかくことなく毎日新しい顧客を開拓している。,figurative,あぐらをかく,Zero-shot
優勝した後も彼らはあぐらをかかず練習を重ねている。,figurative,あぐらをかく,Zero-shot
新商品が予想以上の売上を記録しても、我々はあぐらをかく余裕はない。,figurative,あぐらをかく,Zero-shot
最近の好成績を受けて、彼はあぐらをかくことなくさらに努力を重ねた。,figurative,あぐらをかく,Zero-shot
競争の激しい市場では、一度の成功にあぐらをかいてはいけない。,figurative,あぐらをかく,Zero-shot
彼女は昇進しても、あぐらをかくことなく仕事に励んでいる。,figurative,あぐらをかく,Zero-shot
長い間トップを走ってきたが、まだあぐらをかくわけにはいかない。,figurative,あぐらをかく,Zero-shot
社内評価がトップクラスであっても、彼はあぐらをかかずスキルアップを目指している。,figurative,あぐらをかく,Zero-shot
新しい市場に参入しただけで満足せず、あぐらをかかずに更なる成長を追求する必要がある。,figurative,あぐらをかく,Zero-shot
多くの賞を受賞して自信を持っているが、それにあぐらをかいては才能が衰える。,figurative,あぐらをかく,Zero-shot
進学校に入学できたものの、高校生活が始まったらあぐらをかくことなく勉強を続けるつもりだ。,figurative,あぐらをかく,Zero-shot
