submission,category,idiom,type
"Non perdere tempo ad abbaiare alla luna, concentriamoci su problemi reali e risolvibili.",figurato,abbaiare alla luna,Zero-shot
"Lui continua ad abbaiare alla luna, lamentandosi di cose che non può cambiare.",figurato,abbaiare alla luna,Zero-shot
"Invece di abbaiare alla luna, perché non provi a fare qualcosa di concreto?",figurato,abbaiare alla luna,Zero-shot
"Il suo discorso in riunione sembrava solo un abbaiare alla luna, senza nessuna proposta pratica.",figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non ti porterà da nessuna parte, cerca piuttosto di adattarti e andare avanti.",figurato,abbaiare alla luna,Zero-shot
"Marco passa il suo tempo ad abbaiare alla luna, invece di affrontare i suoi problemi.",figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non cambierà la situazione, bisogna agire con pragmatismo.",figurato,abbaiare alla luna,Zero-shot
Discutere con lui è come abbaiare alla luna; non ascolta mai.,figurato,abbaiare alla luna,Zero-shot
"Mi sembra che abbaiare alla luna sia l'unico modo per sfogare la mia frustrazione, anche se non serve a nulla.",figurato,abbaiare alla luna,Zero-shot
"Quelle proteste sembrano solo un abbaiare alla luna, visto che il governo non sembra disposto a cambiare idea.",figurato,abbaiare alla luna,Zero-shot
"Continuare a lamentarsi di quella decisione è come abbaiare alla luna, non cambierà nulla.",figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non ti aiuterà a superare l'esame, solo lo studio lo farà.",figurato,abbaiare alla luna,Zero-shot
"A volte, discutere con lui sembra abbaiare alla luna, è impossibile farlo cambiare idea.",figurato,abbaiare alla luna,Zero-shot
"Per quanto possa essere frustrante, abbaiare alla luna sul traffico non migliorerà la situazione.",figurato,abbaiare alla luna,Zero-shot
"Piuttosto che abbaiare alla luna per le ingiustizie del mondo, perché non provi a fare la differenza con azioni concrete?",figurato,abbaiare alla luna,Zero-shot
"Invece di abbaiare alla luna, perché non cerchi una soluzione pratica?",figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non ti farà avanzare nella carriera, devi dimostrare i tuoi risultati.",figurato,abbaiare alla luna,Zero-shot
"Lei continua ad abbaiare alla luna, sperando che le cose cambino magicamente.",figurato,abbaiare alla luna,Zero-shot
Questo è solo abbaiare alla luna; non influenzerà le decisioni del consiglio.,figurato,abbaiare alla luna,Zero-shot
"È inutile abbaiare alla luna su ciò che non puoi controllare, concentra la tua energia su ciò che puoi cambiare.",figurato,abbaiare alla luna,Zero-shot
"Protestare così è come abbaiare alla luna, non cambierà nulla.",figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna sulle decisioni già prese è solo tempo perso.,figurato,abbaiare alla luna,Zero-shot
A volte sento che tutte le nostre discussioni sono come abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
"Non serve abbaiare alla luna riguardo al passato, concentriamoci sul futuro.",figurato,abbaiare alla luna,Zero-shot
Lei spende ore ad abbaiare alla luna su questioni che nessuno può risolvere.,figurato,abbaiare alla luna,Zero-shot
Continuare a criticare la politica senza proporre soluzioni è solo abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna su problemi irrisolvibili non fa altro che aumentare la frustrazione.,figurato,abbaiare alla luna,Zero-shot
Loro preferiscono abbaiare alla luna piuttosto che cercare di capire il punto di vista altrui.,figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna per decisioni che non puoi cambiare è solo uno spreco di energia.,figurato,abbaiare alla luna,Zero-shot
Questo dibattito sembra più un abbaiare alla luna che una discussione produttiva.,figurato,abbaiare alla luna,Zero-shot
Lamentarsi con chi non può fare nulla è come abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna non cambierà il risultato di questa partita.,figurato,abbaiare alla luna,Zero-shot
"A volte, fare richieste a chi non vuole ascoltare è solo abbaiare alla luna.",figurato,abbaiare alla luna,Zero-shot
È inutile abbaiare alla luna sperando che le cose migliorino da sole.,figurato,abbaiare alla luna,Zero-shot
Parlare senza agire è come abbaiare alla luna: fa rumore ma non porta risultati.,figurato,abbaiare alla luna,Zero-shot
"Continuare a lamentarsi di quel problema è come abbaiare alla luna, non cambierà nulla.",figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna su questioni irrisolvibili non fa altro che sprecare tempo.,figurato,abbaiare alla luna,Zero-shot
Criticare decisioni ormai definitive è solo un inutile abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
"Parlare senza ascoltare le risposte è come abbaiare alla luna, inefficace e frustrante.",figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non porterà a nessuna soluzione, bisogna agire concretamente.",figurato,abbaiare alla luna,Zero-shot
Lamentarsi continuamente di situazioni irrisolvibili è come abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
"Spesso, le sue critiche sembrano solo un abbaiare alla luna, senza alcun effetto pratico.",figurato,abbaiare alla luna,Zero-shot
Discutere con lui è come abbaiare alla luna; non cambierà mai idea.,figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna su vecchi problemi non aiuta a trovare nuove soluzioni.,figurato,abbaiare alla luna,Zero-shot
"Piuttosto che abbaiare alla luna, dovremmo cercare modi concreti per migliorare la situazione.",figurato,abbaiare alla luna,Zero-shot
"Protestare in questo modo non serve a nulla, è solo abbaiare alla luna.",figurato,abbaiare alla luna,Zero-shot
"Lui passa le giornate ad abbaiare alla luna, lamentandosi di cose che non può cambiare.",figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna su decisioni già prese è inutile e sconfortante.,figurato,abbaiare alla luna,Zero-shot
"Parlare senza essere ascoltati è come abbaiare alla luna, un esercizio di pura frustrazione.",figurato,abbaiare alla luna,Zero-shot
Smettila di abbaiare alla luna e inizia a fare qualcosa di concreto per risolvere il problema.,figurato,abbaiare alla luna,Zero-shot
Continuare a lamentarsi senza agire è come abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
"Abbaiare alla luna non risolverà i nostri problemi, dobbiamo prendere decisioni concrete.",figurato,abbaiare alla luna,Zero-shot
"Questa discussione sembra un abbaiare alla luna, nessuno sta ascoltando l'altro.",figurato,abbaiare alla luna,Zero-shot
Perdere tempo a criticare le politiche inattuabili è solo abbaiare alla luna.,figurato,abbaiare alla luna,Zero-shot
"Invece di abbaiare alla luna, concentriamoci su azioni che possiamo effettivamente controllare.",figurato,abbaiare alla luna,Zero-shot
"Protestare così è come abbaiare alla luna, non cambierà nulla.",figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna su problemi irrisolvibili non fa altro che aumentare la frustrazione.,figurato,abbaiare alla luna,Zero-shot
Loro preferiscono abbaiare alla luna piuttosto che cercare di capire il punto di vista altrui.,figurato,abbaiare alla luna,Zero-shot
Abbaiare alla luna per decisioni che non puoi cambiare è solo uno spreco di energia.,figurato,abbaiare alla luna,Zero-shot
Questo dibattito sembra più un abbaiare alla luna che una discussione produttiva.,figurato,abbaiare alla luna,Zero-shot
"Giacomo, ogni volta che tu lamenti la sorte della squadra di calcio della nostra città dopo la retrocessione, mi sembra che stai solo abbaiando alla luna, visto che nulla che dici o fai può cambiare la situazione.",figurato,abbaiare alla luna,Enhanced-prompting
"Perché continui a abbaiare alla luna, protestando contro il fatto che la pioggia abbia rovinato il tuo picnic?",figurato,abbaiare alla luna,Enhanced-prompting
"Non serve abbaiare alla luna, lamentandoti di quanto sia freddo l'inverno qui.",figurato,abbaiare alla luna,Enhanced-prompting
"Nonostante la sua frustrazione, Marco sapeva che abbaiare alla luna non avrebbe cambiato il clima gelido della città in cui viveva.",figurato,abbaiare alla luna,Enhanced-prompting
