submission,category,idiom,type
Projeyi zamanında teslim etmezsem ayvayı yemiş olurum.,mecaz,Ayvayı yemek,Zero-shot
Sınavda kopya çekerken öğretmen tarafından yakalanınca ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Ekip olarak hatalı raporu müdüre sununca hepimiz ayvayı yedik.,mecaz,Ayvayı yemek,Zero-shot
Gizli tutmam gereken bilgiyi yanlışlıkla açıkladığımda ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Arabayı çarptıktan sonra babamın tepkisini görünce ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
Faturasını ödemediği için elektriği kesilince ayvayı yediğini anlamıştı.,mecaz,Ayvayı yemek,Zero-shot
Yanlış kişiye mesaj atınca ayvayı yediğini hemen fark etti.,mecaz,Ayvayı yemek,Zero-shot
Şirketteki gizli toplantıyı kazara sızdırınca tüm ofiste ayvayı yedi.,mecaz,Ayvayı yemek,Zero-shot
"Kadro dışı bırakıldığını öğrenen futbolcu, kariyerinde ayvayı yediğini düşündü.",mecaz,Ayvayı yemek,Zero-shot
"Ehliyetsiz araç kullanırken polise yakalanan genç, ayvayı yemiş bulundu.",mecaz,Ayvayı yemek,Zero-shot
Son teslim tarihini kaçırınca projede ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Anahtarları içeride unutup kapıyı çarptığım an ayvayı yediğimize emin oldum.,mecaz,Ayvayı yemek,Zero-shot
Gerçeği söylemeyi unuttuğum için ilişkimizde ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
İş görüşmesinde yanlış bilgi verdiğimi fark ettiğimde ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
Söz verdiğim halde doğum gününü unutunca ayvayı yemiş bulundum.,mecaz,Ayvayı yemek,Zero-shot
Geciken ödeme yüzünden kontrat iptal edilince ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Şifreyi yanlış girince sistemden atıldım ve ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
Yalanım ortaya çıktığında tüm dostlarımın gözünde ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Üstümdeki kıyafetle yağmura yakalanınca ayvayı yediğimi hissettim.,mecaz,Ayvayı yemek,Zero-shot
"Çalışma dosyalarını yanlışlıkla silince bütün bir yılın emeğinin boşa gittiğini, yani ayvayı yediğimi gördüm.",mecaz,Ayvayı yemek,Zero-shot
Kayıp cüzdanı fark ettiğimde cebimdeki paralar için ayvayı yediğimi anlamıştım.,mecaz,Ayvayı yemek,Zero-shot
Şirketteki sürpriz denetimde evraklarımız eksik çıkınca hepimiz için ayvayı yediğimiz ortaya çıktı.,mecaz,Ayvayı yemek,Zero-shot
Dedikoduyu yanlış kişiye yapınca olayın büyüyeceğini ve ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
Tüm geceyi ders çalışmadan geçirdikten sonra sınav sabahı ayvayı yediğimi hissediyordum.,mecaz,Ayvayı yemek,Zero-shot
Gizli tutmam gereken projeyi kazara rakip şirket çalışanına söylediğimde ayvayı yediğimin farkına vardım.,mecaz,Ayvayı yemek,Zero-shot
Ödevimi zamanında yapmazsam hocadan ayvayı yemiş olurum.,mecaz,Ayvayı yemek,Zero-shot
Arkadaşımın sırrını başkasına söylediğimde ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Yanlış adrese tüm malzemeleri gönderdiğimde ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
E-postayı yanlış kişiye gönderdiğim an ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
"Konser biletlerini yanlış tarihe aldığımda, planlarımız için ayvayı yemiş olduk.",mecaz,Ayvayı yemek,Zero-shot
Sürpriz sınavda hiçbir şey bilmediğimde ayvayı yediğimi anlamıştım.,mecaz,Ayvayı yemek,Zero-shot
Arabayı park ettiğim yerde çizik bulunca ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Tatilde evi kilitlemeyi unuttuğumu fark edince ayvayı yediğimi hissettim.,mecaz,Ayvayı yemek,Zero-shot
Patrona yanlış raporu verdiğimde tüm ofis önünde ayvayı yemiş bulundum.,mecaz,Ayvayı yemek,Zero-shot
Telefonumu kafede unutunca geri döndüğümde ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
Final sınavına çalışmadan girdiğimde ayvayı yediğimi hemen anladım.,mecaz,Ayvayı yemek,Zero-shot
Şirket toplantısında yanlış raporu sununca tüm yönetim karşısında ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Telefonumu taksiye unutup indikten sonra ayvayı yediğimi fark ettim.,mecaz,Ayvayı yemek,Zero-shot
Evde kırdığım vazonun annemin en sevdiği vazo olduğunu öğrenince ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
Yanlışlıkla patronun önünde şirketin stratejik planlarını ifşa ettiğimde ayvayı yemiş bulundum.,mecaz,Ayvayı yemek,Zero-shot
Gece geç saatte eve döndüğümde anahtarlarımı kaybettiğimi fark edince ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Sunumu hazırlamayı unutup toplantıya boş ellerle girdiğimde ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Önemli bir müşteriyi beklerken trafikte kaldığımda ayvayı yediğimi hissettim.,mecaz,Ayvayı yemek,Zero-shot
Yanlış kişiye dedikodu yaptığımı anlayınca tüm ofiste ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Bilgisayarımı virüs bulaştıktan sonra tüm dosyaları kaybettiğimde ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
"Evde kimseler yokken lambayı kırdım, annem fark edince ayvayı yediğimi anladım.",mecaz,Ayvayı yemek,Zero-shot
"Şirketteki gizli toplantı hakkında konuşurken yanlışlıkla mikrofon açık kalmış, herkes duyunca ayvayı yediğimi fark ettim.",mecaz,Ayvayı yemek,Zero-shot
"Önemli bir sınavı kaçırdığımı fark ettiğimde, geleceğim için ayvayı yediğimi hissettim.",mecaz,Ayvayı yemek,Zero-shot
Şifreyi unuttuğumda banka hesabıma erişemeyince ayvayı yemiş bulundum.,mecaz,Ayvayı yemek,Zero-shot
Üst katta su sızıntısı yapınca alt komşunun tavanı zarar gördü ve ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
Yanlış zamanda yanlış şeyi söylediğim için toplantıda ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
Projeyi son teslim gününe kadar unuttuğumda başıma gelecekleri tahmin edebiliyordum; kesinlikle ayvayı yemiştim.,mecaz,Ayvayı yemek,Zero-shot
Tüm hazırlıkları yapmama rağmen uçağımı kaçırdığımda tatil için ayvayı yediğimi biliyordum.,mecaz,Ayvayı yemek,Zero-shot
Gizlice ofis malzemesi alırken kameraya yakalandığımı fark edince ayvayı yediğimi anlamıştım.,mecaz,Ayvayı yemek,Zero-shot
Çok önemli bir müşteriyle randevumu karıştırdığımda iş anlaşması için ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
Ödevimi zamanında yapmadığım için sınıfta hoca kontrol ettiğinde ayvayı yemiş oldum.,mecaz,Ayvayı yemek,Zero-shot
"Gizli bir toplantıya geç kaldığımda, kapıda herkesin bakışlarına maruz kaldığımda ayvayı yediğimi hissettim.",mecaz,Ayvayı yemek,Zero-shot
"Cep telefonumu evde unutup dışarı çıktığımda, önemli bir arama beklediğimi hatırlayınca ayvayı yemiş oldum.",mecaz,Ayvayı yemek,Zero-shot
Bütün verileri içeren bilgisayarım çöktüğünde projeyi teslim etme gününde ayvayı yediğimi anladım.,mecaz,Ayvayı yemek,Zero-shot
