submission,category,idiom,type
彼の誠実な対応にはいつも頭が下がる。,figurative,頭が下がる,Zero-shot
長年悪事に手を染めていたが、彼は足を洗って更生を決意した。,figurative,足を洗う,Zero-shot
病気で苦しむ友人を見舞うたび、胸が痛む。,figurative,胸が痛む,Zero-shot
熱しやすく冷めやすい社長のもとで働くことは、常に新たな挑戦に直面することを意味する。,figurative,熱しやすく冷めやすい,Zero-shot
彼はこの小説が彼の作家生活の集大成と考え、筆を置いて物語に幕を閉じた。,figurative,幕を閉じる,Zero-shot
小さな誤解は水に流し、絆を深める努力をしよう。,figurative,水に流す,Zero-shot
彼女はそのニュースを聞いて、自分のキャリアに幕を閉じる決意を固めた。,figurative,幕を閉じる,Zero-shot
地元で開業してから数年間、彼女の事業は地域コミュニティに深く根を張り、多くの常連客を得た。,figurative,根を張る,Zero-shot
彼の演奏は年月を経て、音色に脂が乗り始めた。,figurative,脂が乗る,Zero-shot
地元の祭りの企画に彼は熱を上げ、コミュニティの皆で盛り上がるイベントを企画した。,figurative,熱を上げる,Zero-shot
広告の打ち合わせでの重要なポイントも、彼にとってはすぐに右から左へと過ぎ去る。,figurative,右から左,Zero-shot
どうして彼がその賞を受賞したのか、皆が首をひねっている。,figurative,首をひねる,Zero-shot
型にはまらないアプローチが、この問題に新たな解決策をもたらした。,figurative,型にはまる,Zero-shot
彼は将来のキャリアについて悩んでいたが、熟考の末、新しい道を歩む決心をして弓を引いた。,figurative,弓を引く,Zero-shot
最近の技術革新の速さについていけず、多くの企業が適応策に頭を痛めている。,figurative,頭を痛める,Zero-shot
彼の新しいビジネスが地元新聞に掲載され、その日から彼はやたらと鼻が高い。,figurative,鼻が高い,Zero-shot
彼女は文学の世界で名声を博す作家たちと肩を並べる才能を発揮している。,figurative,肩を並べる,Zero-shot
明らかな答えがあるはずの問題に、専門家たちも首をひねっている。,figurative,首をひねる,Zero-shot
当面の計画で手一杯なので、新しい提案は一旦棚に上げて保留することにしました。,figurative,棚に上げる,Zero-shot
長年続いたプロジェクトがついに幕を閉じるときが来た。,figurative,幕を閉じる,Zero-shot
最新のAI技術の波に乗ることで、彼のスタートアップは業界内で注目を集め始めている。,figurative,波に乗る,Zero-shot
あのチームリーダーは、人を食うような圧力をチームにかけて成果を求める。,figurative,人を食う,Zero-shot
彼は研究分野で世界的に認められた学者と肩を並べる業績を上げた。,figurative,肩を並べる,Zero-shot
バイオリンとピアノのデュオコンサートでは、互いに技術的な火花を散らしながらも美しいハーモニーを奏でた。,figurative,火花を散らす,Zero-shot
面接で腹を割って自己PRをしたのが功を奏し、見事内定を勝ち取った。,figurative,腹を割る,Zero-shot
昔の友人とのつながりから足を洗った彼女は、清らかな人生を歩む決意を新たにした。,figurative,足を洗う,Zero-shot
最近彼女はダンスに熱を上げ、週に数回のレッスンに加え、自宅でも練習している。,figurative,熱を上げる,Zero-shot
ファッションデザインに熱を上げた彼女は、最新のトレンドを取り入れた衣装を次々に創り出していた。,figurative,熱を上げる,Zero-shot
交渉が中断され、すべての条件が宙に浮いてしまった。,figurative,宙に浮く,Zero-shot
新しい仕事が山積みで、手が足りず完全に首が回らない状況だ。,figurative,首が回らない,Zero-shot
彼女の斬新なデザインが評価会議で火花を散らし、すぐに生産ラインへの導入が決定された。,figurative,火花を散らす,Zero-shot
長編小説を書き上げるのは、緻密な構想と根気が要る骨が折れる作業だ。,figurative,骨が折れる,Zero-shot
彼はこの土地に移り住み、地元のNGOと協力して環境保護活動を展開し、地域に深く根を張ることとなった。,figurative,根を張る,Zero-shot
念願の旅行の計画を立てていたが、急な仕事が入り、友人のテンションに水を差すことになった。,figurative,水を差す,Zero-shot
世界遺産に登録されたその地域は、観光客の増加とともに新しい幕を開けた。,figurative,幕を開ける,Zero-shot
二人は腹を割って話しているうちに、互いの誤解が解けて友情が深まった。,figurative,腹を割る,Zero-shot
熱しやすく冷めやすい彼女は、趣味の手芸もすぐに他のことに興味を移してしまう。,figurative,熱しやすく冷めやすい,Zero-shot
彼女はその非難を水に流し、かえって彼との関係を強化する機会とした。,figurative,水に流す,Zero-shot
資金調達が思うように進まないので、新規事業の計画はしばらく棚に上げることにしました。,figurative,棚に上げる,Zero-shot
長年の努力がついに実を結んで、彼は夢の職に就くことができました。,figurative,実を結ぶ,Zero-shot
新進気鋭の2人の作家が対談したとき、思想の火花を散らす議論が繰り広げられた。,figurative,火花を散らす,Zero-shot
彼は熱しやすく冷めやすいため、新しい趣味に手を出す度に初期の情熱がすぐに薄れてしまう。,figurative,熱しやすく冷めやすい,Zero-shot
新製品の開発における多くの障害を克服した後、私たちは技術的な峠を越えた。,figurative,峠を越す,Zero-shot
長期間の交渉の末、最終決定が延期され、プロジェクトは再び宙に浮かされることとなった。,figurative,宙に浮く,Zero-shot
密室での謎解きゲームは、息が詰まるほどの緊張と興奮が交錯した。,figurative,息が詰まる,Zero-shot
友人との事業を始めるときは意気揚々としていたが、数ヶ月経つと徐々に熱が冷めてきた。,figurative,熱が冷める,Zero-shot
意外な結果の実験に、彼らは首をひねりながらデータを再検討した。,figurative,首をひねる,Zero-shot
地域社会との協力が実を結び、新しい公園が地域住民の憩いの場となった。,figurative,実を結ぶ,Zero-shot
彼女の料理は初心者の頃から長い道のりを歩み、今やその技術に脂が乗っており、多くの人々を魅了している。,figurative,脂が乗る,Zero-shot
異文化交流イベントで、参加者たちの異なる視点が火花を散らす興味深い対話をもたらした。,figurative,火花を散らす,Zero-shot
この料理人は数年間修行を重ねた結果、今ではその技術に脂が乗っている。,figurative,脂が乗る,Zero-shot
盛り上がっていた同窓会の会話に、ある参加者が不快な話題を持ち出し、楽しい空気に水を差した。,figurative,水を差す,Zero-shot
彼の積極的な交渉が実を結び、重要なビジネス契約が成立した。,figurative,実を結ぶ,Zero-shot
彼女は自身のキャリアアップのチャンスを広げるために、異業種にも網を張るよう努めている。,figurative,網を張る,Zero-shot
古い日本語の文献を現代語に訳すのは、言葉の意味を正確に捉えるために骨が折れる作業だ。,figurative,骨が折れる,Zero-shot
返済の期日が迫っているが、このままでは資金繰りが首が回らない。,figurative,首が回らない,Zero-shot
新しい教育政策の波に乗って、彼はオンライン教育プラットフォームを立ち上げ、全国の学生にアクセスを提供した。,figurative,波に乗る,Zero-shot
彼は常に型にはまらないアプローチで問題解決を図る。,figurative,型にはまる,Zero-shot
授業計画が思うように進まず、教師は教育内容の充実に頭を痛めている。,figurative,頭を痛める,Zero-shot
詐欺を防ぐために、警察は情報収集の網を張り巡らせた。,figurative,網を張る,Zero-shot
あの人は重要なアドバイスもすぐに右から左に払いのけてしまうので、進歩が見られない。,figurative,右から左,Zero-shot
彼は健康志向の波に乗り、オーガニック食品の店を開業した。,figurative,波に乗る,Zero-shot
最新の展示会が幕を開け、多くの訪問者が新しいアートの世界に足を踏み入れた。,figurative,幕を開ける,Zero-shot
