submission,category,idiom,type
"They had a fling with sustainable living, installing solar panels and growing their own vegetables.",figurative,have fling,Zero-shot
The innovative approach to recycling in small communities shows that grassroots movements truly have a future in combating climate change.,figurative,have future,Zero-shot
"She lost her cool after discovering that the project deadline had been moved up by a week, despite the team already working at full capacity.",figurative,lose cool,Enhanced-prompting
"Are they really prepared to give notice, or is this just talk to stir up negotiations?",figurative,give notice,Enhanced-prompting
"The principle of fair trade started to take root in the local market, encouraging more vendors and customers to participate.",figurative,take root,Zero-shot
"When he realized he had forgotten the anniversary, he saw stars, knowing he was in for a tough conversation.",figurative,see star,Zero-shot
Should we pull the plug on his employment if his performance does not improve by the next review?,figurative,pull plug,Enhanced-prompting
"As a freshman, it wasn't easy adapting to the rigors of college life, but by sophomore year, he had found his foot academically.",figurative,find foot,Zero-shot
He blew the whistle on the fraudulent activities he noticed in the accounts department.,figurative,blow whistle,Zero-shot
Do you think people should blow their own trumpet on social media to share their successes?,figurative,blow trumpet,Enhanced-prompting
"At the state dinner, the ambassador managed to cut a dignified figure, representing his country with elegance and poise.",figurative,cut figure,Enhanced-prompting
"With the booming tourism industry, the hotel chain is making a pile this fiscal year.",figurative,make pile,Zero-shot
"The band hit the road for their national tour, playing in a new city each night.",figurative,hit road,Enhanced-prompting
"By redesigning their app to make it more user-friendly, the developers hoped to make a hit in the competitive market.",figurative,make hit,Enhanced-prompting
"During the lavish engagement party, amidst a crowd of finely dressed guests, Olivia couldn't hold back her frustrations any longer and decided to make a scene, loudly accusing her fiancé of ignoring her all evening.",figurative,make scene,Enhanced-prompting
"It's rare to see her lose her temper, but the continuous delays finally got to her.",figurative,lose temper,Zero-shot
"Once her invention hit the market, she made a pile from enthusiastic consumers.",figurative,make pile,Zero-shot
"Hold your horses, let's think this through before making any irreversible decisions.",figurative,hold horse,Zero-shot
"Her speech was layered with metaphors, yet the audience seemed to get the drift of her message by the end.",figurative,get drift,Zero-shot
"After numerous hush-hush meetings and veiled comments, the team finally got the drift that a major project was on the horizon.",figurative,get drift,Zero-shot
She boldly decided to blow the public safety whistle when she discovered toxic chemicals leaking into the river.,figurative,blow whistle,Enhanced-prompting
"The new drama series made a hit on social media, sparking debates and discussions across platforms.",figurative,make hit,Zero-shot
"Advanced automation processes take gradually root across various manufacturing sectors, implying significant productivity enhancements.",figurative,take root,Enhanced-prompting
She made a face like she had swallowed a bug when she realized the email was sent to the entire company.,figurative,make face,Zero-shot
They worked hard all year and were excited to kick up their heels at the company's annual retreat.,figurative,kick heel,Zero-shot
A month of heavy expectations lay waste to my enthusiasm for the project.,figurative,lay waste,Zero-shot
"He got wind of the surprise farewell party for him, so he acted surprised to keep everyone happy.",figurative,get wind,Zero-shot
"At the suggestion of postponing the vacation, the kids all made faces, clearly unhappy with the decision.",figurative,make face,Zero-shot
"After the third computer crash of the day, she finally lost her temper and slammed her fist on the desk.",figurative,lose temper,Zero-shot
Her blunt comments about the policy changes touched a nerve with the committee members.,figurative,touch nerve,Zero-shot
He struggled to make his mark in the scientific community due to limited access to advanced research facilities.,figurative,make mark,Enhanced-prompting
"His deep understanding of economics holds sway in debates, often tilting the argument in his favor.",figurative,hold sway,Zero-shot
"After weeks of technical glitches, the IT department decided to pull the neon decorations and signs down.",figurative,pull plug,Zero-shot
"The discussion about elder care touched a nerve with him, given his recent struggles with his parents' health.",figurative,touch nerve,Zero-shot
Is it common for people to lose the thread when too many intricate details are thrown into a discussion all at once?,figurative,lose thread,Enhanced-prompting
"After the team missed the deadline for the third time, the manager lost his cool and demanded an emergency meeting.",figurative,lose cool,Zero-shot
"As he awaited the response on his loan application, he kicked his heels against the legs of the chair, feeling a mix of impatience and hope.",figurative,kick heel,Enhanced-prompting
Can we all agree to hold fire on divisive comments until we've all had a chance to speak?,figurative,hold fire,Enhanced-prompting
She took heart from the encouraging words of her mentor during times of doubt.,figurative,take heart,Zero-shot
Jogging in these freezing temperatures is foolhardy; you’re flirting with catching your death.,figurative,catch death,Enhanced-prompting
"She blew the whistle on the company's financial discrepancies, leading to a thorough internal audit.",figurative,blow whistle,Zero-shot
"I warned him not to push his luck, or he’d make me blow my top.",figurative,blow top,Zero-shot
The board pulled the plug on the expansion plans after the market analysis showed unfavorable trends.,figurative,pull plug,Zero-shot
"No one expected her to make a scene at the quiet dinner, but her announcement certainly turned heads.",figurative,make scene,Zero-shot
Carrying that old coin in my pocket during exams always seems to bring luck.,figurative,bring luck,Zero-shot
"The principal wasn't there to hold the fort during the lockdown, which caused significant confusion.",figurative,hold fort,Enhanced-prompting
"As the deadline approaches, it's essential that everyone pulls their weight to ensure we're not left in the lurch.",figurative,pull weight,Zero-shot
"Within the hushed, solemn walls of the library, the child, lost in a book, cut a quaint figure among towering shelves of ancient tomes.",figurative,cut figure,Zero-shot
The display of vibrant petals gave notice that the garden was entering its peak bloom.,figurative,give notice,Zero-shot
"After the lead programmer took a leave of absence, his second-in-command had to hold the fort on the development project.",figurative,hold fort,Zero-shot
Have you gotten wind of the startup that's about to launch a product similar to ours?,figurative,get wind,Enhanced-prompting
"Negotiations were almost finalized when they moved the goalposts, requiring further concessions from our side.",figurative,move goalpost,Zero-shot
Might she be pulling punches to maintain a more amicable atmosphere during the debate?,figurative,pull punch,Enhanced-prompting
It's only a matter of time before she blows her top over the unfinished chores.,figurative,blow top,Enhanced-prompting
The vibrant colors of the mural catch attention from across the street.,figurative,catch attention,Zero-shot
"Relocating to a different country was initially overwhelming, but after making some friends and settling into a routine, he quickly found his foot.",figurative,find foot,Zero-shot
"Facing another sleepless night, he decisively blew his cool top and made the call.",figurative,blow top,Enhanced-prompting
Her motivation for learning piano hit a wall when she reached more advanced compositions.,figurative,hit wall,Zero-shot
"Given her exceptional analytical skills and proactive approach to problem-solving, it's clear that she does indeed have a future with our organization.",figurative,have future,Enhanced-prompting
He regretted not using restructuring as an opportunity to make hay and boost his career trajectory.,figurative,make hay,Enhanced-prompting
"You won't catch your death if you remember to put on your warm, insulated jacket before stepping outside.",figurative,catch death,Enhanced-prompting
We need to have a word about adjusting your workload.,figurative,have word,Zero-shot
"When he stumbled upon the misconduct, there was no hesitation in his mind about the need to blow the whistle.",figurative,blow whistle,Zero-shot
"He cut a dashing figure at the podium, captivating the audience with his charisma and eloquence.",figurative,cut figure,Enhanced-prompting
"During the intense debate, he managed not to lose his head, articulating his points clearly and confidently.",figurative,lose head,Zero-shot
I'm really worried he'll blow his topping if he sees the bill for the repairs.,figurative,blow top,Zero-shot
The new tech gadget displayed at the expo caught the attention of enthusiasts and investors alike.,figurative,catch attention,Zero-shot
She hit the roof when she noticed her proposal had been rejected without consideration.,figurative,hit roof,Zero-shot
The recent proposal of a multiverse theory by the young astrophysicist caught the scientific community's imagination due to its bold implications about the fabric of reality.,figurative,catch imagination,Enhanced-prompting
"During the dense lecture on quantum mechanics, I barely managed to get the drift of the core principles.",figurative,get drift,Zero-shot
"If you insist on skiing in such harsh conditions, be prepared to catch your death.",figurative,catch death,Zero-shot
"In her presentation, she didn't pull any punches about the company's dire financial situation, urging immediate corrective actions.",figurative,pull punch,Zero-shot
"The new director wasted no time; within weeks, anyone not meeting expectations got the sack.",figurative,get sack,Zero-shot
"It didn't take long for the new manager's policies to take root, drastically altering the company's culture.",figurative,take root,Enhanced-prompting
Will the upcoming documentary set fire to public awareness and support for the movement?,figurative,set fire,Enhanced-prompting
"Has the latest smart home technology caught your imagination yet, or do you find it too invasive?",figurative,catch imagination,Enhanced-prompting
"With her charismatic leadership and innovative ideas, she certainly has a future in guiding major corporate strategies.",figurative,have future,Zero-shot
"He always promises to behave, but once he's upset, he's bound to make a scene, regardless of the setting.",figurative,make scene,Zero-shot
"When he uncovered the kickback scheme, he didn't hesitate to blow the whistle.",figurative,blow whistle,Zero-shot
"They've always dreamed of calm seas, but invariably have misfortune stirring the waters.",figurative,have misfortune,Zero-shot
Parents got wind of the new curriculum changes and many showed up to the school board meeting to voice their concerns.,figurative,get wind,Zero-shot
"Keeping tabs on his health, he visited the gym regularly and adjusted his diet accordingly.",figurative,keep tab,Enhanced-prompting
"Upon tasting the overcooked meal, everyone at the table made faces, trying to politely mask their disappointment.",figurative,make face,Zero-shot
"They seem to have misfortune woven into the very fabric of their existence, tripping them up at every turn.",figurative,have misfortune,Zero-shot
"While it's great to see such eagerness to complete the project, we must hold our horses to ensure each step is correctly followed and understood.",figurative,hold horse,Enhanced-prompting
"Despite her initial reaction, she decided to hold fire on the feedback until after she had reviewed the entire report.",figurative,hold fire,Zero-shot
"The category 5 hurricane, with winds surpassing 150 miles per hour, ruthlessly laid waste to the coastal towns, demolishing homes and infrastructure, leaving thousands without shelter.",figurative,lay waste,Enhanced-prompting
"The community got wind of the planned development, sparking a series of passionate town hall meetings.",figurative,get wind,Zero-shot
"Mismanagement in the company lay waste to decades of hard work, eroding the brand’s reputation.",figurative,lay waste,Zero-shot
She has a knack for crafting headlines that catch attention and spark curiosity.,figurative,catch attention,Zero-shot
"Curious about different cultures, he had a fling with language learning, dabbling in Spanish, French, and Mandarin.",figurative,have fling,Zero-shot
"During the investigative interview, the reporter’s question about corruption allegations touched a nerve with the politician, who then abruptly ended the session.",figurative,touch nerve,Enhanced-prompting
Every opportunity they seize seems tainted as they have misfortune whispering doubts in the background.,figurative,have misfortune,Zero-shot
They took heart in knowing that every small effort contributed to a larger cause.,figurative,take heart,Zero-shot
"He wanted to immediately discuss the contract, but I suggested he hold his horses until we reviewed all the terms together.",figurative,hold horse,Enhanced-prompting
Many who attempt to kick the habit find support groups immensely helpful.,figurative,kick habit,Enhanced-prompting
She managed the project seamlessly but never once blew her own trumpet; her modesty was as commendable as her skill.,figurative,blow trumpet,Enhanced-prompting
"During the holiday rush, it was crucial that someone held the fort at the office.",figurative,hold fort,Zero-shot
"Due to low attendance, the organizers were forced to pull the plug on the annual arts festival.",figurative,pull plug,Zero-shot
"With the burgeoning demand for AI technology, this innovative startup certainly has a future ahead.",figurative,have future,Zero-shot
"In the boardroom, Elaine cut a figure of authority and determination, her sharp suit complementing her no-nonsense approach to negotiation.",figurative,cut figure,Enhanced-prompting
Does the experienced project manager always hold sway when crucial topics are up for discussion?,figurative,hold sway,Enhanced-prompting
"He never hit the wall during the race, maintaining strong and steady pace through to the finish.",figurative,hit wall,Enhanced-prompting
I hit the roof when I saw the water damage in the basement.,figurative,hit roof,Zero-shot
The new government initiative aims to protect those who bravely blow the whistle on corrupt practices.,figurative,blow whistle,Zero-shot
"It was clear during the trial that the prosecution was moving the goalposts, altering the basis of their argument each time the defense addressed an accusation effectively.",figurative,move goalpost,Enhanced-prompting
"Trying innovative marketing strategies can sometimes make a hit, catching the competitor's attention.",figurative,make hit,Zero-shot
He lost his temper when yet another driver cut him off during rush hour.,figurative,lose temper,Zero-shot
