idiom,submission,category,rating,likes,dislikes,reports,idiom_indices,idiom_words,lemmas,words
adım atmak,Yeni kariyerine ilk adımını attı.,idiom,1.0,4,0,0,"[3, 4]","['adımını', 'attı']","['yen', 'kariyer', 'ilk', 'adım', 'atmak', '.']","['Yeni', 'kariyerine', 'ilk', 'adımını', 'attı', '.']"
adım atmak,Sanat yaşamına adım attığı ilk yıllardan bu yana motivasyonundan hiçbir şey kaybetmedi.,idiom,0.75,3,0,1,"[2, 3]","['adım', 'attığı']","['sanat', 'Yaşam', 'adım', 'atmak', 'ilk', 'yıl', 'bu', 'yana', 'motivasyon', 'hiçbir', 'şey', 'kaybetmek', '.']","['Sanat', 'yaşamına', 'adım', 'attığı', 'ilk', 'yıllardan', 'bu', 'yana', 'motivasyonundan', 'hiçbir', 'şey', 'kaybetmedi', '.']"
adım atmak,Bu hayata adım atmak kolay mı sanıyorsun?,idiom,0.6666666666666666,2,0,1,"[2, 3]","['adım', 'atmak']","['bu', 'hayat', 'adım', 'atmak', 'kolay', 'mı', 'sanmak', '?']","['Bu', 'hayata', 'adım', 'atmak', 'kolay', 'mı', 'sanıyorsun', '?']"
adım atmak,Veri bilimine ilk defa adım attılar.,idiom,1.0,3,0,0,"[4, 5]","['adım', 'attılar']","['veri', 'bilim', 'ilk', 'defa', 'adım', 'atmak', '.']","['Veri', 'bilimine', 'ilk', 'defa', 'adım', 'attılar', '.']"
adım atmak,"Çiftin yeni bir hayata adım attığı bu gecede, tüm konuklarımıza teşekkür ediyorum.",idiom,0.75,3,0,1,"[4, 5]","['adım', 'attığı']","['çift', 'yen', 'bir', 'hayat', 'adım', 'atmak', 'bu', 'gece', ',', 'tüm', 'Konuk', 'teşekkür', 'etmek', '.']","['Çiftin', 'yeni', 'bir', 'hayata', 'adım', 'attığı', 'bu', 'gecede', ',', 'tüm', 'konuklarımıza', 'teşekkür', 'ediyorum', '.']"
adım atmak,Attığın her adımın arkasında durmak zorundasın.,idiom,0.75,3,0,1,"[2, 0]","['adımın', 'Attığın']","['atmak', 'her', 'adım', 'Arkas', 'durmak', 'zor', '.']","['Attığın', 'her', 'adımın', 'arkasında', 'durmak', 'zorundasın', '.']"
adım atmak,Bir işe adımını atmadan önce iki kere düşün.,idiom,0.6666666666666666,2,0,1,"[2, 3]","['adımını', 'atmadan']","['bir', 'işemek', 'adım', 'atmak', 'önce', 'iki', 'kere', 'düş', '.']","['Bir', 'işe', 'adımını', 'atmadan', 'önce', 'iki', 'kere', 'düşün', '.']"
adım atmak,Yeni teknolojiyi projeye uygulamak için gerek ilk adımları atmaya başlamıştı.,idiom,0.5,2,1,1,"[7, 8]","['adımları', 'atmaya']","['yen', 'teknoloji', 'proje', 'uygulamak', 'içmek', 'gerekmek', 'ilk', 'adım', 'atmak', 'başlamak', '.']","['Yeni', 'teknolojiyi', 'projeye', 'uygulamak', 'için', 'gerek', 'ilk', 'adımları', 'atmaya', 'başlamıştı', '.']"
adım atmak,Yeni bir işe adım attı.,idiom,1.0,4,0,0,"[3, 4]","['adım', 'attı']","['yen', 'bir', 'işemek', 'adım', 'atmak', '.']","['Yeni', 'bir', 'işe', 'adım', 'attı', '.']"
adım atmak,İş hayatına adım atacağı ilk gün heyecandan dizleri titriyordu.,idiom,0.75,3,0,1,"[2, 3]","['adım', 'atacağı']","['iş', 'hayat', 'adım', 'atmak', 'ilk', 'gün', 'heyecan', 'diz', 'titremek', '.']","['İş', 'hayatına', 'adım', 'atacağı', 'ilk', 'gün', 'heyecandan', 'dizleri', 'titriyordu', '.']"
adım atmak,"Gerçekten bu konuda adım atmaya cesaretim yok, zorlama beni.",idiom,0.6666666666666666,2,0,1,"[3, 4]","['adım', 'atmaya']","['gerçek', 'bu', 'konu', 'adım', 'atmak', 'Cesaret', 'yok', ',', 'zorlamak', 'ben', '.']","['Gerçekten', 'bu', 'konuda', 'adım', 'atmaya', 'cesaretim', 'yok', ',', 'zorlama', 'beni', '.']"
adım atmak,O kuleler için geri adım mı atılacak?,idiom,0.6666666666666666,2,0,1,"[4, 6]","['adım', 'atılacak']","['o', 'kule', 'içmek', 'geri', 'adım', 'mı', 'atmak', '?']","['O', 'kuleler', 'için', 'geri', 'adım', 'mı', 'atılacak', '?']"
adım atmak,"Bak sen bir adım at, emin ol o sana koşarak gelecektir.",idiom,0.75,3,0,1,"[3, 4]","['adım', 'at']","['bakmak', 'se', 'bir', 'adım', 'atmak', ',', 'em', 'olmak', 'o', 'sanmak', 'koşmak', 'gelecek', '.']","['Bak', 'sen', 'bir', 'adım', 'at', ',', 'emin', 'ol', 'o', 'sana', 'koşarak', 'gelecektir', '.']"
adım atmak,Tırmanış yaparken atılan her adımın yaşamsal bir önemi olduğu unutulmamalıdır.,nonidiom,0.75,3,0,1,"[4, 2]","['adımın', 'atılan']","['tırmanmak', 'yapmak', 'atmak', 'her', 'adım', 'Yaşam', 'bir', 'önem', 'olmak', 'unutmak', '.']","['Tırmanış', 'yaparken', 'atılan', 'her', 'adımın', 'yaşamsal', 'bir', 'önemi', 'olduğu', 'unutulmamalıdır', '.']"
adım atmak,Bugün yirmi bin adım atmışım.,nonidiom,0.6666666666666666,2,0,1,"[3, 4]","['adım', 'atmışım']","['bugün', 'yirmi', 'bin', 'adım', 'atmak', '.']","['Bugün', 'yirmi', 'bin', 'adım', 'atmışım', '.']"
adım atmak,Adımını attığı an asansörün kapısı kapandı.,nonidiom,0.75,3,0,1,"[0, 1]","['Adımını', 'attığı']","['adım', 'atmak', 'an', 'asansör', 'kapı', 'kapanmak', '.']","['Adımını', 'attığı', 'an', 'asansörün', 'kapısı', 'kapandı', '.']"
adım atmak,Her gün on bin adım atmak kal ve damar hastalıklarını önlemede önemli bir etken.,nonidiom,0.75,3,0,1,"[4, 5]","['adım', 'atmak']","['her', 'gün', 'onmak', 'bin', 'adım', 'atmak', 'kal', 've', 'damar', 'hastalık', 'önlemek', 'önem', 'bir', 'etken', '.']","['Her', 'gün', 'on', 'bin', 'adım', 'atmak', 'kal', 've', 'damar', 'hastalıklarını', 'önlemede', 'önemli', 'bir', 'etken', '.']"
adım atmak,Yola adımını atacağı anda önünden jet hızıyla bir motosiklet geçti.,nonidiom,0.75,3,0,1,"[1, 2]","['adımını', 'atacağı']","['yol', 'adım', 'atmak', 'ant', 'önünden', 'jet', 'hız', 'bir', 'motosiklet', 'geç', '.']","['Yola', 'adımını', 'atacağı', 'anda', 'önünden', 'jet', 'hızıyla', 'bir', 'motosiklet', 'geçti', '.']"
adım atmak,"Adım atamadım, öyle çok kalabalıktı.",nonidiom,1.0,3,0,0,"[0, 1]","['Adım', 'atamadım']","['adım', 'atmak', ',', 'öyle', 'çok', 'kalabalık', '.']","['Adım', 'atamadım', ',', 'öyle', 'çok', 'kalabalıktı', '.']"
adım atmak,Adımını atarken dikkat etmeyen çocuk taşa takılıp boylu boyunca yere uzandı.,nonidiom,0.75,3,0,1,"[0, 1]","['Adımını', 'atarken']","['adım', 'atmak', 'dikkat', 'etmek', 'çocuk', 'taşmak', 'takılmak', 'boy', 'boy', 'yermek', 'uzamak', '.']","['Adımını', 'atarken', 'dikkat', 'etmeyen', 'çocuk', 'taşa', 'takılıp', 'boylu', 'boyunca', 'yere', 'uzandı', '.']"
adım atmak,Uzun süre hastanede kaldıktan sonra dışarıya ilk adımını atarken tereddütteydi.,nonidiom,0.75,3,0,1,"[7, 8]","['adımını', 'atarken']","['uz', 'süre', 'hastane', 'kalmak', 'sonra', 'dışarı', 'ilk', 'adım', 'atmak', 'tereddüt', '.']","['Uzun', 'süre', 'hastanede', 'kaldıktan', 'sonra', 'dışarıya', 'ilk', 'adımını', 'atarken', 'tereddütteydi', '.']"
adım atmak,Oğlumun ilk adım atışını görememek bir ömür boyu içimde ukte kalacak.,nonidiom,0.6666666666666666,2,0,1,"[2, 3]","['adım', 'atışını']","['oğul', 'ilk', 'adım', 'atmak', 'görmek', 'bir', 'Ömür', 'boy', 'iç', 'ukte', 'kalmak', '.']","['Oğlumun', 'ilk', 'adım', 'atışını', 'görememek', 'bir', 'ömür', 'boyu', 'içimde', 'ukte', 'kalacak', '.']"
adım atmak,Yoğun iş gününün sonunda eve geldiğimde adım atacak halde değildim.,nonidiom,0.6666666666666666,2,0,1,"[6, 7]","['adım', 'atacak']","['yoğun', 'iş', 'günü', 'son', 'ev', 'gelmek', 'adım', 'atmak', 'hâl', 'değil', '.']","['Yoğun', 'iş', 'gününün', 'sonunda', 'eve', 'geldiğimde', 'adım', 'atacak', 'halde', 'değildim', '.']"
adım atmak,Bebek ilk adımlarını atmaya başlamıştı.,nonidiom,0.75,3,0,1,"[2, 3]","['adımlarını', 'atmaya']","['bebek', 'ilk', 'adım', 'atmak', 'başlamak', '.']","['Bebek', 'ilk', 'adımlarını', 'atmaya', 'başlamıştı', '.']"
adım atmak,Bebek ilk kez adım attı.,nonidiom,1.0,3,0,0,"[3, 4]","['adım', 'attı']","['bebek', 'ilk', 'kez', 'adım', 'atmak', '.']","['Bebek', 'ilk', 'kez', 'adım', 'attı', '.']"
adım atmak,Adımın altına imzamı attım.,nonidiom,1.0,4,0,0,"[0, 3]","['Adımın', 'attım']","['adım', 'alt', 'imza', 'atmak', '.']","['Adımın', 'altına', 'imzamı', 'attım', '.']"
altını çizmek,"Bak bu söylediklerimin altını çizerek söylüyorum, bir daha bunu yapma sakın",idiom,1.0,5,0,0,"[3, 4]","['altını', 'çizerek']","['bakmak', 'bu', 'söylemek', 'alt', 'çizmek', 'söylemek', ',', 'bir', 'daha', 'bun', 'yapmak', 'sak']","['Bak', 'bu', 'söylediklerimin', 'altını', 'çizerek', 'söylüyorum', ',', 'bir', 'daha', 'bunu', 'yapma', 'sakın']"
